date,股票代码,open,close,high,low,volume,money,振幅,涨跌幅,涨跌额,turnover
2020-08-26,688356,124.71,133.88,147.64,123.7,108317,1497997677.0,62.64,250.29,95.66,79.4
2020-08-27,688356,117.05,103.93,117.07,97.05,77351,848336189.0,14.95,-22.37,-29.95,56.7
2020-08-28,688356,97.03,96.94,97.03,88.7,48463,465311305.0,8.02,-6.73,-6.99,35.53
2020-08-31,688356,96.94,95.03,100.84,94.17,25021,249523475.0,6.88,-1.97,-1.91,18.34
2020-09-01,688356,98.04,102.06,104.35,98.04,30991,324082964.0,6.64,7.4,7.03,22.72
2020-09-02,688356,102.04,101.88,108.88,97.14,31204,331538896.0,11.5,-0.18,-0.18,22.87
2020-09-03,688356,102.02,103.69,106.02,97.14,22071,230134523.0,8.72,1.78,1.81,16.18
2020-09-04,688356,101.03,96.84,103.04,96.84,14073,143930573.0,5.98,-6.61,-6.85,10.32
2020-09-07,688356,94.14,88.04,95.74,88.04,17600,167290976.0,7.95,-9.09,-8.8,12.9
2020-09-08,688356,87.92,83.84,88.81,81.26,16950,147210460.0,8.58,-4.77,-4.2,12.43
2020-09-09,688356,81.98,77.03,82.04,76.02,13962,113985525.0,7.18,-8.12,-6.81,10.23
2020-09-10,688356,78.04,74.64,79.54,74.14,11090,88143946.0,7.01,-3.1,-2.39,8.13
2020-09-11,688356,73.2,81.35,85.04,73.2,20545,170764944.0,15.86,8.99,6.71,15.06
2020-09-14,688356,83.19,83.54,83.88,79.07,11454,97204219.0,5.91,2.69,2.19,8.4
2020-09-15,688356,83.2,82.54,83.79,80.19,8623,73130065.0,4.31,-1.2,-1.0,6.32
2020-09-16,688356,82.84,83.39,84.73,80.64,5237,44775461.0,4.96,1.03,0.85,3.84
2020-09-17,688356,83.49,90.74,90.74,83.03,18412,167547168.0,9.25,8.81,7.35,13.5
2020-09-18,688356,89.04,89.24,91.68,87.32,8075,74519260.0,4.8,-1.65,-1.5,5.92
2020-09-21,688356,89.04,91.44,95.04,87.72,12968,123063503.0,8.2,2.47,2.2,9.51
2020-09-22,688356,91.04,90.8,93.02,87.61,7737,72462160.0,5.92,-0.7,-0.64,5.67
2020-09-23,688356,91.48,93.72,94.6,88.04,8416,79785172.0,7.22,3.22,2.92,6.17
2020-09-24,688356,91.63,90.85,94.84,89.91,9308,88286950.0,5.26,-3.06,-2.87,6.82
2020-09-25,688356,91.04,88.99,91.91,87.03,4426,40789444.0,5.37,-2.05,-1.86,3.24
2020-09-28,688356,89.03,89.31,91.74,88.04,5343,49378874.0,4.16,0.36,0.32,3.92
2020-09-29,688356,88.76,90.04,93.03,88.76,10304,96702984.0,4.78,0.82,0.73,7.55
2020-09-30,688356,89.81,88.07,90.03,85.04,8212,74698342.0,5.54,-2.19,-1.97,6.02
2020-10-09,688356,89.04,87.54,89.54,87.23,3044,27751357.0,2.62,-0.6,-0.53,2.23
2020-10-12,688356,88.83,93.91,94.53,87.55,6263,58928456.0,7.97,7.28,6.37,4.59
2020-10-13,688356,93.83,101.04,105.64,93.33,14412,148551709.0,13.11,7.59,7.13,10.56
2020-10-14,688356,101.67,104.22,105.56,99.93,8397,88807732.0,5.57,3.15,3.18,6.16
2020-10-15,688356,102.92,103.04,104.88,99.54,6494,68508984.0,5.12,-1.13,-1.18,4.76
2020-10-16,688356,103.57,114.04,119.84,103.25,14686,168215003.0,16.1,10.68,11.0,10.77
2020-10-19,688356,111.04,110.84,122.81,108.52,14860,174580437.0,12.53,-2.81,-3.2,10.89
2020-10-20,688356,112.54,112.72,115.44,108.54,10098,115155886.0,6.23,1.7,1.88,7.4
2020-10-21,688356,111.03,111.0,113.91,109.35,3140,36063241.0,4.05,-1.53,-1.72,2.3
2020-10-22,688356,112.54,106.4,112.54,103.06,6907,75639511.0,8.54,-4.14,-4.6,5.06
2020-10-23,688356,106.44,100.06,109.04,98.91,9480,100272027.0,9.52,-5.96,-6.34,6.95
2020-10-26,688356,100.34,105.84,106.54,98.73,7105,75917033.0,7.81,5.78,5.78,5.21
2020-10-27,688356,105.84,104.61,110.8,103.64,6848,75407707.0,6.76,-1.16,-1.23,5.02
2020-10-28,688356,106.98,105.79,107.09,101.1,3718,40260007.0,5.73,1.13,1.18,2.73
2020-10-29,688356,103.29,112.54,112.54,103.06,6641,74021805.0,8.96,6.38,6.75,4.87
2020-10-30,688356,112.28,111.81,117.04,110.6,6550,76364483.0,5.72,-0.65,-0.73,4.8
2020-11-02,688356,110.37,121.84,123.7,110.37,8217,100154388.0,11.92,8.97,10.03,6.02
2020-11-03,688356,122.0,129.94,129.94,119.14,8099,103504151.0,8.86,6.65,8.1,5.94
2020-11-04,688356,129.75,128.34,131.64,122.69,9434,122030223.0,6.89,-1.23,-1.6,6.92
2020-11-05,688356,127.26,128.64,130.32,125.22,6154,80447913.0,3.97,0.23,0.3,4.51
2020-11-06,688356,127.57,125.8,128.54,120.82,7025,89391080.0,6.0,-2.21,-2.84,5.15
2020-11-09,688356,124.84,125.04,127.04,121.43,8765,111578889.0,4.46,-0.6,-0.76,6.43
2020-11-10,688356,124.93,121.74,124.93,116.09,8512,104423030.0,7.07,-2.64,-3.3,6.24
2020-11-11,688356,125.31,118.04,125.31,115.43,8242,100393685.0,8.12,-3.04,-3.7,6.04
2020-11-12,688356,117.04,114.26,119.69,112.84,5177,61063074.0,5.8,-3.2,-3.78,3.8
2020-11-13,688356,114.26,117.76,121.34,113.14,6054,73738677.0,7.18,3.06,3.5,4.44
2020-11-16,688356,116.94,121.43,125.8,116.06,6750,84004991.0,8.27,3.12,3.67,4.95
2020-11-17,688356,122.03,120.85,123.61,117.84,4709,58217232.0,4.75,-0.48,-0.58,3.45
2020-11-18,688356,122.01,114.33,122.01,107.04,12734,145923270.0,12.39,-5.4,-6.52,9.33
2020-11-19,688356,112.04,114.53,116.2,110.03,4667,54267281.0,5.4,0.17,0.2,3.42
2020-11-20,688356,115.31,118.14,120.24,111.34,3609,43559450.0,7.77,3.15,3.61,2.65
2020-11-23,688356,120.04,110.03,121.04,109.26,6671,77293737.0,9.97,-6.86,-8.11,4.89
2020-11-24,688356,109.04,107.62,109.52,105.59,4168,46037662.0,3.57,-2.19,-2.41,3.06
2020-11-25,688356,105.65,102.61,106.99,102.04,4925,52902456.0,4.6,-4.66,-5.01,3.61
2020-11-26,688356,103.22,99.91,104.94,98.24,4126,42431371.0,6.53,-2.63,-2.7,3.02
