date,股票代码,open,close,high,low,volume,money,振幅,涨跌幅,涨跌额,turnover
2020-01-02,688333,19.8,20.1,20.19,19.8,11053,61718548.0,1.97,1.52,0.3,6.15
2020-01-03,688333,20.17,20.3,20.39,19.97,11391,64103577.0,2.09,1.0,0.2,6.34
2020-01-06,688333,20.3,20.59,20.63,20.08,15921,90826459.0,2.71,1.43,0.29,8.87
2020-01-07,688333,20.56,20.62,20.69,20.14,12960,73993714.0,2.67,0.15,0.03,7.22
2020-01-08,688333,20.45,20.87,21.39,20.4,20269,118825593.0,4.8,1.21,0.25,11.29
2020-01-09,688333,20.92,21.25,21.3,20.89,15867,93509724.0,1.96,1.82,0.38,8.83
2020-01-10,688333,21.52,20.75,21.53,20.74,15061,88222532.0,3.72,-2.35,-0.5,8.39
2020-01-13,688333,20.74,21.1,21.13,20.66,10877,63471657.0,2.27,1.69,0.35,6.06
2020-01-14,688333,21.17,21.26,21.61,20.95,16389,97075779.0,3.13,0.76,0.16,9.13
2020-01-15,688333,21.18,20.66,21.31,20.52,11226,65178065.0,3.72,-2.82,-0.6,6.25
2020-01-16,688333,20.78,21.01,21.36,20.67,13443,78712647.0,3.34,1.69,0.35,7.49
2020-01-17,688333,21.1,22.7,23.07,21.02,36027,223138959.0,9.76,8.04,1.69,20.06
2020-01-20,688333,22.71,23.0,23.56,21.55,30224,192616709.0,8.85,1.32,0.3,16.83
2020-01-21,688333,22.95,22.85,23.72,22.36,19187,122879816.0,5.91,-0.65,-0.15,10.68
2020-01-22,688333,22.46,22.59,22.89,21.4,21950,134696175.0,6.52,-1.14,-0.26,11.55
2020-01-23,688333,22.16,21.25,22.93,21.07,18506,113181284.0,8.23,-5.93,-1.34,9.74
2020-02-03,688333,16.94,16.93,17.71,16.93,17140,81725094.0,3.67,-20.33,-4.32,9.02
2020-02-04,688333,17.04,18.12,18.24,17.04,20658,103011909.0,7.09,7.03,1.19,10.87
2020-02-05,688333,18.16,19.06,19.53,18.05,22775,120389945.0,8.17,5.19,0.94,11.99
2020-02-06,688333,18.84,19.72,20.07,18.84,22042,120118975.0,6.45,3.46,0.66,11.6
2020-02-07,688333,19.8,20.36,20.45,19.31,23875,132606817.0,5.78,3.25,0.64,12.57
2020-02-10,688333,20.04,21.28,21.83,20.04,22747,133908253.0,8.79,4.52,0.92,11.97
2020-02-11,688333,21.28,20.44,21.75,20.32,18887,109366083.0,6.72,-3.95,-0.84,9.94
2020-02-12,688333,20.08,21.05,21.2,19.73,17013,98954767.0,7.19,2.98,0.61,8.95
2020-02-13,688333,20.94,21.48,22.34,20.94,26533,159983504.0,6.65,2.04,0.43,13.96
2020-02-14,688333,22.09,20.8,22.09,20.45,21953,129750639.0,7.64,-3.17,-0.68,11.55
2020-02-17,688333,21.17,25.02,25.02,21.17,44182,285568907.0,18.51,20.29,4.22,23.25
2020-02-18,688333,26.98,25.19,27.37,25.02,71139,518979096.0,9.39,0.68,0.17,37.44
2020-02-19,688333,23.95,23.87,25.04,23.36,44187,298465585.0,6.67,-5.24,-1.32,23.26
2020-02-20,688333,23.88,24.42,24.74,23.79,30085,203540468.0,3.98,2.3,0.55,15.83
2020-02-21,688333,23.6,24.09,24.24,23.05,30867,202922144.0,4.87,-1.35,-0.33,16.25
2020-02-24,688333,23.66,23.26,23.68,23.07,22659,147156497.0,2.53,-3.45,-0.83,11.93
