amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
121480022.0,,,6.32,2024-01-08,6.53,6.32,6.48,,,176482,3.25,0.83,-2.32,-0.15,600325
88389924.0,,,6.34,2024-01-09,6.41,6.25,6.31,,,129346,2.53,0.61,0.32,0.02,600325
91149444.0,,,6.38,2024-01-10,6.45,6.27,6.33,,,132737,2.84,0.63,0.63,0.04,600325
145471024.0,,,6.34,2024-01-11,6.49,6.31,6.38,,,211963,2.82,1.0,-0.63,-0.04,600325
133070168.0,,,6.39,2024-01-12,6.46,6.3,6.33,,,193152,2.52,0.91,0.79,0.05,600325
173413497.0,,,6.55,2024-01-15,6.65,6.31,6.41,,,248165,5.32,1.17,2.5,0.16,600325
114956024.0,,,6.45,2024-01-16,6.59,6.34,6.55,,,165843,3.82,0.78,-1.53,-0.1,600325
92935510.0,,,6.24,2024-01-17,6.41,6.24,6.39,,,136345,2.64,0.64,-3.26,-0.21,600325
181131111.0,,,6.17,2024-01-18,6.26,5.98,6.22,,,275077,4.49,1.3,-1.12,-0.07,600325
158222522.0,,,6.15,2024-01-19,6.34,6.09,6.14,,,236609,4.05,1.12,-0.32,-0.02,600325
229289042.0,,,5.76,2024-01-22,6.18,5.74,6.12,,,356465,7.15,1.68,-6.34,-0.39,600325
187562034.0,,,5.97,2024-01-23,6.01,5.72,5.72,,,293902,5.03,1.39,3.65,0.21,600325
156903127.0,,,6.17,2024-01-24,6.17,5.94,5.98,,,238692,3.85,1.13,3.35,0.2,600325
268991170.0,,,6.48,2024-01-25,6.49,6.2,6.21,,,393035,4.7,1.86,5.02,0.31,600325
322460742.0,,,6.69,2024-01-26,6.81,6.49,6.49,,,448853,4.94,2.12,3.24,0.21,600325
406826324.0,,,6.79,2024-01-29,7.09,6.72,6.94,,,550508,5.53,2.6,1.49,0.1,600325
560899766.0,,,6.4,2024-01-30,7.29,6.39,7.29,,,776586,13.25,3.67,-5.74,-0.39,600325
350077631.0,,,6.17,2024-01-31,6.57,6.16,6.34,,,516117,6.41,2.44,-3.59,-0.23,600325
224158013.0,,,6.06,2024-02-01,6.29,6.01,6.06,,,339099,4.54,1.6,-1.78,-0.11,600325
288040966.0,,,6.19,2024-02-02,6.41,5.96,6.05,,,429291,7.43,2.03,2.15,0.13,600325
284303761.0,,,5.94,2024-02-05,6.16,5.72,6.16,,,444645,7.11,2.1,-4.04,-0.25,600325
232948027.0,,,6.3,2024-02-06,6.39,5.66,5.82,,,355698,12.29,1.68,6.06,0.36,600325
317790948.0,,,6.71,2024-02-07,6.71,6.24,6.32,,,449284,7.46,2.12,6.51,0.41,600325
318708060.0,,,6.82,2024-02-08,7.14,6.7,6.7,,,428861,6.56,2.03,1.64,0.11,600325
358500713.0,,,6.66,2024-02-19,7.04,6.42,7.04,,,506472,9.09,2.39,-2.35,-0.16,600325
343817667.0,,,6.88,2024-02-20,6.97,6.65,6.65,,,471124,4.8,2.23,3.3,0.22,600325
354736616.0,,,6.88,2024-02-21,7.09,6.63,6.73,,,480175,6.69,2.27,0.0,0.0,600325
