amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
54959311.0,,,21.87,2024-01-08,22.48,21.83,22.35,,,24610,2.9,1.18,-2.32,-0.52,300792
52512052.0,,,22.04,2024-01-09,22.31,21.75,21.88,,,23574,2.56,1.13,0.78,0.17,300792
57294065.0,,,22.07,2024-01-10,22.15,21.42,21.95,,,25961,3.31,1.24,0.14,0.03,300792
62654917.0,,,22.51,2024-01-11,22.69,21.91,21.91,,,27636,3.53,1.32,1.99,0.44,300792
42402970.0,,,22.14,2024-01-12,22.5,22.11,22.41,,,18806,1.73,0.9,-1.64,-0.37,300792
39114274.0,,,22.19,2024-01-15,22.45,21.89,22.07,,,17382,2.53,0.83,0.23,0.05,300792
53250529.0,,,21.94,2024-01-16,22.2,21.48,22.1,,,24183,3.24,1.16,-1.13,-0.25,300792
49673096.0,,,21.31,2024-01-17,22.15,21.3,21.92,,,22649,3.87,1.09,-2.87,-0.63,300792
68661872.0,,,21.19,2024-01-18,21.37,20.39,21.22,,,32637,4.6,1.56,-0.56,-0.12,300792
36524933.0,,,20.9,2024-01-19,21.5,20.9,21.19,,,17032,2.83,0.82,-1.37,-0.29,300792
91909752.0,,,19.25,2024-01-22,21.06,19.0,21.06,,,45627,9.86,2.19,-7.89,-1.65,300792
54641156.0,,,19.43,2024-01-23,19.49,18.68,19.15,,,28155,4.21,1.35,0.94,0.18,300792
71812780.0,,,20.16,2024-01-24,20.47,19.34,19.58,,,35636,5.82,1.71,3.76,0.73,300792
71949488.0,,,20.57,2024-01-25,20.6,19.76,20.11,,,35015,4.17,1.68,2.03,0.41,300792
49252750.0,,,20.17,2024-01-26,20.68,20.13,20.57,,,23873,2.67,1.14,-1.94,-0.4,300792
48526794.0,,,19.43,2024-01-29,20.34,19.4,20.19,,,24374,4.66,1.17,-3.67,-0.74,300792
40612904.0,,,18.75,2024-01-30,19.47,18.67,19.27,,,21048,4.12,1.01,-3.5,-0.68,300792
53536996.0,,,17.75,2024-01-31,18.92,17.68,18.55,,,28969,6.61,1.39,-5.33,-1.0,300792
47864805.0,,,17.67,2024-02-01,18.17,17.25,17.45,,,26727,5.18,1.28,-0.45,-0.08,300792
56343006.0,,,16.84,2024-02-02,18.23,16.27,17.69,,,32431,11.09,1.55,-4.7,-0.83,300792
70164061.0,,,15.3,2024-02-05,16.67,14.72,16.66,,,44487,11.58,2.13,-9.14,-1.54,300792
72248566.0,,,16.67,2024-02-06,17.17,14.76,15.08,,,44734,15.75,2.14,8.95,1.37,300792
73762016.0,,,17.02,2024-02-07,17.42,16.47,16.76,,,42779,5.7,2.05,2.1,0.35,300792
79025565.0,,,18.05,2024-02-08,18.37,16.9,16.9,,,43585,8.64,2.09,6.05,1.03,300792
84604761.0,,,18.52,2024-02-19,18.75,18.0,18.25,,,45330,4.16,2.17,2.6,0.47,300792
52562091.0,,,18.34,2024-02-20,18.47,17.98,18.47,,,28519,2.65,1.37,-0.97,-0.18,300792
81458475.0,,,18.41,2024-02-21,19.07,17.91,18.15,,,43188,6.32,2.07,0.38,0.07,300792
69715403.0,,,18.86,2024-02-22,19.01,18.23,18.23,,,36721,4.24,1.76,2.44,0.45,300792
85704148.0,,,19.53,2024-02-23,19.64,18.67,18.96,,,44252,5.14,2.12,3.55,0.67,300792
80068898.0,,,19.5,2024-02-26,19.92,19.1,19.49,,,40669,4.2,1.95,-0.15,-0.03,300792
96745881.0,,,20.22,2024-02-27,20.24,19.23,19.33,,,48194,5.18,2.31,3.69,0.72,300792
137286167.0,,,18.57,2024-02-28,20.59,18.48,20.12,,,68781,10.44,3.3,-8.16,-1.65,300792
87916867.0,,,19.4,2024-02-29,19.41,18.4,18.43,,,45497,5.44,2.18,4.47,0.83,300792
100179049.0,,,20.13,2024-03-01,20.25,19.43,19.55,,,49937,4.23,2.39,3.76,0.73,300792
75424848.0,,,19.79,2024-03-04,20.13,19.33,20.06,,,37907,3.97,1.82,-1.69,-0.34,300792
76627543.0,,,19.29,2024-03-05,19.81,19.07,19.81,,,39159,3.74,1.88,-2.53,-0.5,300792
79311364.0,,,19.13,2024-03-06,19.35,18.69,19.21,,,41209,3.42,1.97,-0.83,-0.16,300792
70572080.0,,,18.58,2024-03-07,19.31,18.56,19.13,,,36914,3.92,1.77,-2.88,-0.55,300792
53057925.0,,,18.82,2024-03-08,18.92,18.44,18.56,,,28068,2.58,1.34,1.29,0.24,300792
52814398.0,,,19.17,2024-03-11,19.19,18.63,18.68,,,27550,2.98,1.32,1.86,0.35,300792
78683226.0,,,19.62,2024-03-12,19.65,19.15,19.17,,,40056,2.61,1.92,2.35,0.45,300792
95995309.0,,,19.99,2024-03-13,20.21,19.4,19.59,,,47881,4.13,2.29,1.89,0.37,300792
84916087.0,,,19.49,2024-03-14,20.18,19.3,20.12,,,42748,4.4,2.05,-2.5,-0.5,300792
55357142.0,,,19.67,2024-03-15,19.67,19.18,19.5,,,28147,2.51,1.35,0.92,0.18,300792
85740845.0,,,20.04,2024-03-18,20.05,19.37,19.64,,,42864,3.46,2.05,1.88,0.37,300792
86997022.0,,,19.98,2024-03-19,20.22,19.77,20.02,,,42957,2.25,2.06,-0.3,-0.06,300792
109285779.0,,,20.53,2024-03-20,20.65,19.87,19.98,,,53069,3.9,2.54,2.75,0.55,300792
92459823.0,,,20.31,2024-03-21,20.77,20.1,20.52,,,44752,3.26,2.14,-1.07,-0.22,300792
151951664.0,,,20.63,2024-03-22,21.06,19.53,20.32,,,73927,7.53,3.54,1.58,0.32,300792
102816391.0,,,19.54,2024-03-25,20.72,19.54,20.62,,,50713,5.72,2.43,-5.28,-1.09,300792
88618789.0,,,18.97,2024-03-26,19.68,18.64,19.45,,,45824,5.32,2.2,-2.92,-0.57,300792
79503504.0,,,18.07,2024-03-27,19.12,18.02,18.97,,,42459,5.8,2.03,-4.74,-0.9,300792
64268410.0,,,18.43,2024-03-28,18.91,17.94,18.07,,,34433,5.37,1.65,1.99,0.36,300792
54292644.0,,,18.31,2024-03-29,18.48,17.96,18.32,,,29484,2.82,1.41,-0.65,-0.12,300792
56875641.0,,,19.01,2024-04-01,19.03,18.34,18.38,,,29923,3.77,1.43,3.82,0.7,300792
47292252.0,,,18.69,2024-04-02,18.98,18.47,18.89,,,25031,2.68,1.2,-1.68,-0.32,300792
48847985.0,,,18.23,2024-04-03,18.69,18.12,18.69,,,26336,3.05,1.26,-2.46,-0.46,300792
46783298.0,,,17.48,2024-04-08,18.25,17.47,18.25,,,26051,4.28,1.25,-4.11,-0.75,300792
55644560.0,,,18.02,2024-04-09,18.25,17.5,17.77,,,30761,4.29,1.47,3.09,0.54,300792
