amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
154112125.0,,,27.43,2025-12-15,27.74,27.08,27.47,,,56089,2.4,0.43,,-0.36,-0.1,,603298
109368827.0,,,26.76,2025-12-16,27.45,26.62,27.45,,,40769,3.03,0.31,,-2.44,-0.67,,603298
192521384.0,,,26.72,2025-12-17,27.02,26.25,26.89,,,72435,2.88,0.55,,-0.15,-0.04,,603298
89561876.0,,,26.61,2025-12-18,26.89,26.3,26.64,,,33627,2.21,0.26,,-0.41,-0.11,,603298
149337194.0,,,27.14,2025-12-19,27.3,26.56,26.65,,,55210,2.78,0.42,,1.99,0.53,,603298
176629305.0,,,26.59,2025-12-22,27.29,26.57,27.28,,,65914,2.65,0.5,,-2.03,-0.55,,603298
103483784.0,,,26.8,2025-12-23,26.95,26.36,26.57,,,38729,2.22,0.3,,0.79,0.21,,603298
246008606.0,,,27.54,2025-12-24,27.8,26.62,26.78,,,89873,4.4,0.69,,2.76,0.74,,603298
120914164.0,,,27.28,2025-12-25,27.77,27.18,27.65,,,44220,2.14,0.34,,-0.94,-0.26,,603298
163018795.0,,,27.31,2025-12-26,27.75,27.08,27.16,,,59461,2.46,0.45,,0.11,0.03,,603298
152948702.0,,,26.58,2025-12-29,27.4,26.5,27.39,,,57064,3.3,0.44,,-2.67,-0.73,,603298
146743053.0,,,26.9,2025-12-30,27.15,26.45,26.5,,,54613,2.63,0.42,,1.2,0.32,,603298
175572994.0,,,26.57,2025-12-31,27.05,26.29,26.93,,,66114,2.83,0.5,,-1.23,-0.33,,603298
227372585.0,,,26.82,2026-01-05,26.96,26.36,26.62,,,85209,2.26,0.65,,0.94,0.25,,603298
186522273.0,,,27.16,2026-01-06,27.48,26.8,26.86,,,68570,2.54,0.52,,1.27,0.34,,603298
181879570.0,,,27.31,2026-01-07,27.52,26.68,27.17,,,67025,3.09,0.51,,0.55,0.15,,603298
172058861.0,,,26.83,2026-01-08,27.25,26.66,27.17,,,64145,2.16,0.49,,-1.76,-0.48,,603298
262057734.0,,,27.66,2026-01-09,27.72,26.74,26.81,,,95722,3.65,0.73,,3.09,0.83,,603298
192265899.0,,,27.61,2026-01-12,27.7,26.97,27.7,,,70349,2.64,0.54,,-0.18,-0.05,,603298
331887353.0,,,28.03,2026-01-13,28.74,27.41,27.66,,,118324,4.82,0.9,,1.52,0.42,,603298
403216095.0,,,27.3,2026-01-14,28.19,26.87,28.03,,,146904,4.71,1.12,,-2.6,-0.73,,603298
708168.0,0.0,2.84,6.75,,6.75,6.75,6.75,72.63,0.04,388,,,2016-12-27,,,603298.0,603298
