amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
52707792.0,,,4.67,2025-12-15,4.7,4.52,4.56,,,113564,3.92,1.99,,1.74,0.08,,603188
48623561.0,,,4.55,2025-12-16,4.68,4.55,4.68,,,105826,2.78,1.86,,-2.57,-0.12,,603188
50355489.0,,,4.55,2025-12-17,4.59,4.44,4.59,,,111637,3.3,1.96,,0.0,0.0,,603188
52149536.0,,,4.56,2025-12-18,4.67,4.51,4.51,,,113145,3.52,1.98,,0.22,0.01,,603188
48459249.0,,,4.67,2025-12-19,4.67,4.55,4.6,,,104916,2.63,1.84,,2.41,0.11,,603188
46175534.0,,,4.62,2025-12-22,4.73,4.62,4.7,,,99127,2.36,1.74,,-1.07,-0.05,,603188
45250014.0,,,4.62,2025-12-23,4.65,4.56,4.6,,,98166,1.95,1.72,,0.0,0.0,,603188
35653204.0,,,4.64,2025-12-24,4.68,4.61,4.64,,,76712,1.52,1.35,,0.43,0.02,,603188
36931873.0,,,4.65,2025-12-25,4.68,4.6,4.63,,,79440,1.72,1.39,,0.22,0.01,,603188
45578648.0,,,4.6,2025-12-26,4.68,4.58,4.65,,,98597,2.15,1.73,,-1.08,-0.05,,603188
40833034.0,,,4.59,2025-12-29,4.63,4.55,4.6,,,89012,1.74,1.56,,-0.22,-0.01,,603188
42850450.0,,,4.56,2025-12-30,4.63,4.51,4.57,,,93514,2.61,1.64,,-0.65,-0.03,,603188
44834461.0,,,4.59,2025-12-31,4.61,4.48,4.55,,,98622,2.85,1.73,,0.66,0.03,,603188
48241667.0,,,4.57,2026-01-05,4.61,4.55,4.59,,,105252,1.31,1.85,,-0.44,-0.02,,603188
59138852.0,,,4.56,2026-01-06,4.63,4.53,4.59,,,129200,2.19,2.27,,-0.22,-0.01,,603188
57886177.0,,,4.5,2026-01-07,4.6,4.48,4.56,,,127871,2.63,2.24,,-1.32,-0.06,,603188
62427844.0,,,4.61,2026-01-08,4.62,4.48,4.5,,,136844,3.11,2.4,,2.44,0.11,,603188
65538919.0,,,4.57,2026-01-09,4.64,4.52,4.6,,,143776,2.6,2.52,,-0.87,-0.04,,603188
90289900.0,,,4.63,2026-01-12,4.63,4.52,4.57,,,197057,2.41,3.46,,1.31,0.06,,603188
115690816.0,,,4.67,2026-01-13,4.82,4.58,4.66,,,246841,5.18,4.33,,0.86,0.04,,603188
94692496.0,,,4.65,2026-01-14,4.74,4.58,4.67,,,202553,3.43,3.55,,-0.43,-0.02,,603188
5512458.0,28.28,4.51,13.21,,13.21,10.75,10.75,51.84,0.26,1873,,,2014-09-09,,,603188.0,603188
