amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
19051696.0,6.6,2024-01-08,6.71,6.59,6.66,28283,1.78,0.45,-2.22,-0.15,505
21988546.0,6.59,2024-01-09,6.67,6.56,6.59,32817,1.67,0.52,-0.15,-0.01,505
16053424.0,6.62,2024-01-10,6.63,6.52,6.61,24027,1.67,0.38,0.46,0.03,505
12963013.16,6.66,2024-01-11,6.68,6.59,6.59,19240,1.36,0.3,0.6,0.04,505
16978671.35,6.7,2024-01-12,6.78,6.64,6.67,24947,2.1,0.4,0.6,0.04,505
13440855.0,6.72,2024-01-15,6.73,6.65,6.69,19790,1.19,0.31,0.3,0.02,505
16243327.0,6.69,2024-01-16,6.74,6.61,6.71,24046,1.93,0.38,-0.45,-0.03,505
15453568.0,6.57,2024-01-17,6.71,6.56,6.71,22952,2.24,0.36,-1.79,-0.12,505
39417101.9,6.36,2024-01-18,6.54,6.19,6.51,61529,5.33,0.97,-3.2,-0.21,505
17612261.0,6.37,2024-01-19,6.43,6.29,6.39,27240,2.2,0.43,0.16,0.01,505
28955659.41,6.0,2024-01-22,6.38,5.92,6.34,46392,7.22,0.74,-5.81,-0.37,505
17448302.0,5.97,2024-01-23,6.02,5.85,6.0,28955,2.83,0.46,-0.5,-0.03,505
24924840.0,6.15,2024-01-24,6.16,5.93,5.98,40509,3.85,0.64,3.02,0.18,505
26920750.62,6.37,2024-01-25,6.37,6.13,6.14,42243,3.9,0.67,3.58,0.22,505
225788668.7,7.02,2024-01-26,7.02,6.34,6.37,321320,10.68,5.09,10.2,0.65,505
221530882.3,6.71,2024-01-29,7.01,6.66,7.01,320714,4.99,5.08,-4.42,-0.31,505
78177153.58,6.58,2024-01-30,6.81,6.57,6.71,115829,3.58,1.84,-1.94,-0.13,505
83561648.42,6.07,2024-01-31,6.56,6.07,6.46,130938,7.45,2.07,-7.75,-0.51,505
46987890.91,6.03,2024-02-01,6.16,5.86,6.06,76841,4.94,1.22,-0.66,-0.04,505
59706965.48,5.84,2024-02-02,6.17,5.61,5.96,99336,9.29,1.57,-3.15,-0.19,505
48584123.73,5.32,2024-02-05,5.83,5.26,5.72,87738,9.76,1.39,-8.9,-0.52,505
42707032.85,5.5,2024-02-06,5.66,4.99,5.17,79011,12.59,1.25,3.38,0.18,505
