amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
28141477.0,,,4.62,2024-01-08,4.71,4.61,4.66,,,60422,2.14,0.58,-1.07,-0.05,600207
31894174.0,,,4.65,2024-01-09,4.74,4.59,4.6,,,68505,3.25,0.65,0.65,0.03,600207
42287157.0,,,4.67,2024-01-10,4.79,4.58,4.63,,,89993,4.52,0.86,0.43,0.02,600207
46497210.0,,,4.75,2024-01-11,4.75,4.65,4.67,,,98610,2.14,0.94,1.71,0.08,600207
58668421.0,,,4.78,2024-01-12,4.89,4.71,4.72,,,121996,3.79,1.16,0.63,0.03,600207
57072121.0,,,4.82,2024-01-15,4.95,4.76,4.76,,,118446,3.97,1.13,0.84,0.04,600207
432273868.0,,,5.3,2024-01-16,5.3,4.74,4.78,,,825096,11.62,7.85,9.96,0.48,600207
447656191.0,,,4.98,2024-01-17,5.23,4.98,5.18,,,878436,4.72,8.36,-6.04,-0.32,600207
647705184.0,,,5.48,2024-01-18,5.48,4.98,4.99,,,1230923,10.04,11.72,10.04,0.5,600207
715848859.0,,,5.27,2024-01-19,5.98,5.17,5.44,,,1270370,14.78,12.09,-3.83,-0.21,600207
622072371.0,,,5.48,2024-01-22,5.75,5.04,5.15,,,1150531,13.47,10.95,3.98,0.21,600207
446102563.0,,,5.38,2024-01-23,5.48,5.07,5.2,,,845973,7.48,8.05,-1.82,-0.1,600207
408020644.0,,,5.23,2024-01-24,5.36,4.98,5.23,,,793541,7.06,7.55,-2.79,-0.15,600207
381274098.0,,,5.37,2024-01-25,5.37,4.93,5.21,,,745052,8.41,7.09,2.68,0.14,600207
267498904.0,,,5.11,2024-01-26,5.35,5.1,5.21,,,512542,4.66,4.88,-4.84,-0.26,600207
287627018.0,,,4.6,2024-01-29,5.09,4.6,5.09,,,605590,9.59,5.76,-9.98,-0.51,600207
197568772.0,,,4.17,2024-01-30,4.46,4.16,4.41,,,459325,6.52,4.37,-9.35,-0.43,600207
186469065.0,,,3.75,2024-01-31,4.08,3.75,3.99,,,477295,7.91,4.54,-10.07,-0.42,600207
114422300.0,,,3.84,2024-02-01,3.94,3.69,3.73,,,298250,6.67,2.84,2.4,0.09,600207
121855533.0,,,3.54,2024-02-02,3.83,3.46,3.8,,,335267,9.64,3.19,-7.81,-0.3,600207
91699938.0,,,3.19,2024-02-05,3.49,3.19,3.49,,,281284,8.47,2.68,-9.89,-0.35,600207
70338026.0,,,3.29,2024-02-06,3.4,2.9,3.02,,,221935,15.67,2.11,3.13,0.1,600207
68137017.0,,,3.17,2024-02-07,3.37,3.11,3.27,,,209094,7.9,1.99,-3.65,-0.12,600207
63261145.0,,,3.38,2024-02-08,3.38,3.16,3.17,,,192749,6.94,1.83,6.62,0.21,600207
74163651.0,,,3.54,2024-02-19,3.55,3.4,3.43,,,212171,4.44,2.02,4.73,0.16,600207
55386722.0,,,3.52,2024-02-20,3.53,3.42,3.5,,,158674,3.11,1.51,-0.56,-0.02,600207
88392939.0,,,3.6,2024-02-21,3.72,3.47,3.52,,,244264,7.1,2.33,2.27,0.08,600207
59979719.0,,,3.68,2024-02-22,3.7,3.57,3.58,,,164583,3.61,1.57,2.22,0.08,600207
91417046.0,,,3.84,2024-02-23,3.85,3.69,3.69,,,241806,4.35,2.3,4.35,0.16,600207
87505695.0,,,3.9,2024-02-26,3.96,3.78,3.85,,,226205,4.69,2.15,1.56,0.06,600207
76857351.0,,,3.97,2024-02-27,3.97,3.84,3.88,,,196259,3.33,1.87,1.79,0.07,600207
127053570.0,,,3.74,2024-02-28,4.14,3.72,3.97,,,321260,10.58,3.06,-5.79,-0.23,600207
80428537.0,,,3.9,2024-02-29,3.9,3.67,3.68,,,211281,6.15,2.01,4.28,0.16,600207
61463393.0,,,3.94,2024-03-01,3.98,3.85,3.95,,,156686,3.33,1.49,1.03,0.04,600207
41859869.0,,,3.9,2024-03-04,3.96,3.83,3.93,,,107410,3.3,1.02,-1.02,-0.04,600207
156302393.0,,,4.29,2024-03-05,4.29,3.78,3.88,,,385996,13.08,3.67,10.0,0.39,600207
268444440.0,,,4.72,2024-03-06,4.72,4.33,4.4,,,588114,9.09,5.6,10.02,0.43,600207
71005428.0,,,5.19,2024-03-07,5.19,5.19,5.19,,,136812,0.0,1.3,9.96,0.47,600207
473855575.0,,,5.71,2024-03-08,5.71,5.22,5.71,,,841337,9.44,8.01,10.02,0.52,600207
413745171.0,,,6.28,2024-03-11,6.28,6.11,6.28,,,659921,2.98,6.28,9.98,0.57,600207
811130932.0,,,6.15,2024-03-12,6.91,6.15,6.91,,,1228454,12.1,11.69,-2.07,-0.13,600207
1306612256.0,,,6.27,2024-03-13,6.6,6.01,6.2,,,2075158,9.59,19.75,1.95,0.12,600207
743087311.0,,,5.64,2024-03-14,5.9,5.64,5.82,,,1304325,4.15,12.42,-10.05,-0.63,600207
593723364.0,,,5.53,2024-03-15,5.6,5.28,5.35,,,1091175,5.67,10.39,-1.95,-0.11,600207
683235076.0,,,5.77,2024-03-18,5.83,5.46,5.53,,,1197442,6.69,11.4,4.34,0.24,600207
683678459.0,,,5.75,2024-03-19,6.01,5.49,5.72,,,1189927,9.01,11.33,-0.35,-0.02,600207
431478733.0,,,5.58,2024-03-20,5.76,5.51,5.66,,,771381,4.35,7.34,-2.96,-0.17,600207
408659400.0,,,5.66,2024-03-21,5.75,5.5,5.58,,,725918,4.48,6.91,1.43,0.08,600207
382813691.0,,,5.4,2024-03-22,5.74,5.39,5.65,,,694966,6.18,6.62,-4.59,-0.26,600207
297880828.0,,,5.17,2024-03-25,5.45,5.16,5.35,,,560733,5.37,5.34,-4.26,-0.23,600207
234829902.0,,,5.02,2024-03-26,5.16,4.92,5.06,,,467349,4.64,4.45,-2.9,-0.15,600207
302052028.0,,,4.95,2024-03-27,5.28,4.95,5.05,,,589360,6.57,5.61,-1.39,-0.07,600207
212509526.0,,,5.05,2024-03-28,5.12,4.86,4.86,,,423178,5.25,4.03,2.02,0.1,600207
156453615.0,,,5.05,2024-03-29,5.1,4.98,5.0,,,311418,2.38,2.96,0.0,0.0,600207
278595971.0,,,5.19,2024-04-01,5.26,4.99,5.02,,,542705,5.35,5.17,2.77,0.14,600207
188987825.0,,,5.06,2024-04-02,5.16,5.01,5.15,,,373036,2.89,3.55,-2.5,-0.13,600207
127287620.0,,,4.94,2024-04-03,5.06,4.94,5.06,,,255564,2.37,2.43,-2.37,-0.12,600207
117188495.0,,,4.84,2024-04-08,4.97,4.83,4.93,,,239622,2.83,2.28,-2.02,-0.1,600207
