amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
82739181.0,,,11.53,2025-12-15,11.67,11.25,11.3,,,71818,3.7,1.13,,1.5,0.17,,603708
363541893.0,,,12.68,2025-12-16,12.68,11.5,11.5,,,294238,10.23,4.61,,9.97,1.15,,603708
819368769.0,,,13.14,2025-12-17,13.95,12.78,13.23,,,605098,9.23,9.48,,3.63,0.46,,603708
621076130.0,,,12.92,2025-12-18,13.45,12.59,12.92,,,477121,6.54,7.47,,-1.67,-0.22,,603708
510032785.0,,,13.15,2025-12-19,13.43,12.73,12.92,,,388395,5.42,6.08,,1.78,0.23,,603708
315969335.0,,,13.0,2025-12-22,13.4,12.9,13.07,,,242437,3.8,3.8,,-1.14,-0.15,,603708
278071238.0,,,12.62,2025-12-23,12.93,12.5,12.88,,,220193,3.31,3.45,,-2.92,-0.38,,603708
232907417.0,,,12.27,2025-12-24,12.54,12.18,12.49,,,189288,2.85,2.97,,-2.77,-0.35,,603708
154378058.0,,,12.23,2025-12-25,12.35,12.18,12.27,,,125946,1.39,1.97,,-0.33,-0.04,,603708
168037852.0,,,12.14,2025-12-26,12.44,12.08,12.18,,,137603,2.94,2.16,,-0.74,-0.09,,603708
278888075.0,,,12.41,2025-12-29,12.53,11.83,12.18,,,228932,5.77,3.59,,2.22,0.27,,603708
204564984.0,,,11.82,2025-12-30,12.22,11.76,12.15,,,171550,3.71,2.69,,-4.75,-0.59,,603708
136544462.0,,,11.83,2025-12-31,12.11,11.79,11.95,,,114614,2.71,1.8,,0.08,0.01,,603708
109573344.0,,,11.84,2026-01-05,11.95,11.77,11.95,,,92547,1.52,1.45,,0.08,0.01,,603708
138560275.0,,,11.92,2026-01-06,11.99,11.77,11.85,,,116702,1.86,1.83,,0.68,0.08,,603708
121826044.0,,,11.93,2026-01-07,12.05,11.78,11.88,,,102244,2.27,1.6,,0.08,0.01,,603708
120329143.0,,,11.85,2026-01-08,11.99,11.77,11.88,,,101597,1.84,1.59,,-0.67,-0.08,,603708
161245194.0,,,12.14,2026-01-09,12.15,11.82,11.84,,,134217,2.78,2.1,,2.45,0.29,,603708
539250936.0,,,13.35,2026-01-12,13.35,12.02,12.15,,,413663,10.96,6.48,,9.97,1.21,,603708
547630663.0,,,13.14,2026-01-13,13.9,13.06,13.5,,,406597,6.29,6.37,,-1.57,-0.21,,603708
351273772.0,,,13.34,2026-01-14,14.08,12.97,13.07,,,259394,8.45,4.06,,1.52,0.2,,603708
689037.0,35.4,3.55,9.03,,9.03,7.09,7.09,64.78,0.04,351,,,2016-12-13,,,603708.0,603708
