amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
16654492.0,11.26,2025-01-13,11.29,10.79,10.92,14867,4.52,0.71,1.9,0.21,603949
23666111.0,11.82,2025-01-14,11.83,11.32,11.35,20177,4.53,0.96,4.97,0.56,603949
36941860.0,12.15,2025-01-15,12.16,11.7,11.83,30614,3.89,1.46,2.79,0.33,603949
55753681.0,11.91,2025-01-16,12.65,11.81,12.65,45611,6.91,2.17,-1.98,-0.24,603949
51182583.0,12.34,2025-01-17,12.46,11.73,11.8,41997,6.13,2.0,3.61,0.43,603949
44874208.0,12.17,2025-01-20,12.68,12.05,12.38,36077,5.11,1.72,-1.38,-0.17,603949
27083071.0,11.99,2025-01-21,12.3,11.9,12.2,22378,3.29,1.06,-1.48,-0.18,603949
16415606.0,11.79,2025-01-22,12.04,11.72,12.01,13734,2.67,0.65,-1.67,-0.2,603949
23625691.0,11.96,2025-01-23,12.08,11.88,11.89,19540,1.7,0.93,1.44,0.17,603949
19693380.0,12.12,2025-01-24,12.14,11.87,11.92,16255,2.26,0.77,1.34,0.16,603949
15161082.0,11.91,2025-01-27,12.26,11.9,12.22,12448,2.97,0.59,-1.73,-0.21,603949
22976957.0,12.17,2025-02-05,12.28,12.0,12.04,18752,2.35,0.89,2.18,0.26,603949
27455218.0,12.39,2025-02-06,12.41,12.04,12.2,22249,3.04,1.06,1.81,0.22,603949
34048061.0,12.39,2025-02-07,12.54,12.23,12.42,27210,2.5,1.29,0.0,0.0,603949
39268724.0,12.7,2025-02-10,12.89,12.36,12.4,30910,4.28,1.47,2.5,0.31,603949
32925192.0,12.35,2025-02-11,13.0,12.3,12.74,26272,5.51,1.25,-2.76,-0.35,603949
21302005.0,12.32,2025-02-12,12.4,12.23,12.3,17178,1.38,0.82,-0.24,-0.03,603949
22125222.0,12.07,2025-02-13,12.39,12.03,12.3,18051,2.92,0.86,-2.03,-0.25,603949
20592227.0,12.08,2025-02-14,12.33,12.01,12.08,16792,2.65,0.8,0.08,0.01,603949
25835503.0,12.34,2025-02-17,12.42,12.0,12.08,20916,3.48,1.0,2.15,0.26,603949
58910868.0,12.62,2025-02-18,12.88,12.22,12.4,46446,5.35,2.21,2.27,0.28,603949
82016705.0,13.09,2025-02-19,13.34,12.62,12.85,62634,5.71,2.98,3.72,0.47,603949
106222219.0,13.6,2025-02-20,13.99,12.88,13.0,78657,8.48,3.74,3.9,0.51,603949
81149467.0,13.25,2025-02-21,13.85,13.18,13.48,60252,4.93,2.87,-2.57,-0.35,603949
60513639.0,12.9,2025-02-24,13.31,12.81,13.31,46375,3.77,2.21,-2.64,-0.35,603949
45673628.0,14.2,2025-02-25,14.2,14.2,14.2,31940,0.0,1.52,10.08,1.3,603949
167937581.0,15.63,2025-02-26,15.63,14.89,15.53,108350,5.21,5.15,10.07,1.43,603949
142974516.0,17.2,2025-02-27,17.2,16.82,17.2,82841,2.43,3.94,10.04,1.57,603949
478749639.0,15.81,2025-02-28,18.93,15.63,18.93,264905,19.19,12.6,-8.08,-1.39,603949
291294855.0,14.23,2025-03-03,15.22,14.22,14.34,199868,6.33,9.51,-9.99,-1.58,603949
173913251.0,13.79,2025-03-04,13.99,13.36,13.5,126551,4.43,6.02,-3.09,-0.44,603949
111486575.0,13.82,2025-03-05,13.97,13.57,13.65,80617,2.9,3.84,0.22,0.03,603949
139228557.0,14.03,2025-03-06,14.2,13.89,13.89,98347,2.24,4.68,1.52,0.21,603949
102560025.0,14.05,2025-03-07,14.18,13.76,14.0,72898,2.99,3.47,0.14,0.02,603949
80525557.0,14.19,2025-03-10,14.46,14.04,14.04,56303,2.99,2.68,1.0,0.14,603949
72879547.0,14.07,2025-03-11,14.15,13.81,14.01,51788,2.4,2.46,-0.85,-0.12,603949
103853257.0,14.28,2025-03-12,14.5,14.07,14.09,72163,3.06,3.43,1.49,0.21,603949
136753069.0,14.29,2025-03-13,14.95,14.07,14.44,94010,6.16,4.47,0.07,0.01,603949
88933875.0,14.28,2025-03-14,14.36,13.78,14.16,62669,4.06,2.98,-0.07,-0.01,603949
81412075.0,14.45,2025-03-17,14.54,14.11,14.28,56224,3.01,2.67,1.19,0.17,603949
75799295.0,15.91,2025-03-18,15.91,14.4,14.45,48499,10.45,2.31,10.1,1.46,603949
39788034.0,17.51,2025-03-19,17.51,17.51,17.51,22594,0.0,1.07,10.06,1.6,603949
15014849.0,19.27,2025-03-20,19.27,19.27,19.27,7752,0.0,0.37,10.05,1.76,603949
626047286.0,21.21,2025-03-21,21.21,19.38,21.21,303167,9.5,14.42,10.07,1.94,603949
595748556.0,23.34,2025-03-24,23.34,19.08,19.46,276979,20.08,13.18,10.04,2.13,603949
801965037.0,24.13,2025-03-25,25.68,21.0,22.91,338422,20.05,16.1,3.38,0.79,603949
