amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
44547952.0,,,14.55,2025-12-15,14.71,14.4,14.71,,,30578,2.1,0.67,,-1.22,-0.18,,688277
49002838.0,,,14.31,2025-12-16,14.66,14.27,14.55,,,34158,2.68,0.75,,-1.65,-0.24,,688277
53028845.0,,,14.28,2025-12-17,14.4,14.14,14.22,,,37189,1.82,0.82,,-0.21,-0.03,,688277
56699171.0,,,14.44,2025-12-18,14.67,14.31,14.36,,,39049,2.52,0.86,,1.12,0.16,,688277
72130010.0,,,14.74,2025-12-19,15.1,14.5,14.5,,,48817,4.16,1.07,,2.08,0.3,,688277
46916054.0,,,14.74,2025-12-22,14.97,14.6,14.76,,,31782,2.51,0.7,,0.0,0.0,,688277
40492809.0,,,14.56,2025-12-23,14.87,14.52,14.87,,,27648,2.37,0.61,,-1.22,-0.18,,688277
45924145.0,,,14.59,2025-12-24,14.64,14.41,14.64,,,31572,1.58,0.69,,0.21,0.03,,688277
76614860.0,,,15.09,2025-12-25,15.16,14.5,14.63,,,51400,4.52,1.13,,3.43,0.5,,688277
59478682.0,,,14.82,2025-12-26,15.25,14.79,15.09,,,39687,3.05,0.87,,-1.79,-0.27,,688277
88002502.0,,,14.91,2025-12-29,15.13,14.7,14.74,,,58945,2.9,1.29,,0.61,0.09,,688277
137336226.0,,,15.3,2025-12-30,15.66,14.65,14.87,,,89976,6.77,1.97,,2.62,0.39,,688277
74856678.0,,,15.19,2025-12-31,15.57,15.16,15.28,,,48961,2.68,1.07,,-0.72,-0.11,,688277
286379036.0,,,16.81,2026-01-05,17.16,15.18,15.18,,,174486,13.03,3.83,,10.66,1.62,,688277
284134734.0,,,16.83,2026-01-06,17.88,16.7,17.28,,,166032,7.02,3.64,,0.12,0.02,,688277
188872808.0,,,16.75,2026-01-07,16.95,16.21,16.21,,,113673,4.4,2.49,,-0.48,-0.08,,688277
338352280.0,,,17.76,2026-01-08,18.0,16.75,16.75,,,192255,7.46,4.22,,6.03,1.01,,688277
228750537.0,,,17.96,2026-01-09,18.1,17.48,17.73,,,128153,3.49,2.81,,1.13,0.2,,688277
395913211.0,,,18.89,2026-01-12,19.4,18.33,18.8,,,210750,5.96,4.62,,5.18,0.93,,688277
1094414632.0,,,22.03,2026-01-13,22.67,18.68,19.28,,,522629,21.12,11.46,,16.62,3.14,,688277
1446717304.0,,,24.95,2026-01-14,26.26,21.5,21.81,,,605919,21.61,13.29,,13.25,2.92,,688277
1930760928.0,362.87,73.96,86.0,,107.99,64.3,70.0,614.29,75.14,262955,,,2020-07-07,,,688277.0,688277
