date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,amplitude,pct_change,change,turnover
2025-10-29,300169,7.22,7.13,7.27,7.11,74643,53409154.0,2.21,-1.66,-0.12,2.47,,,,
2025-10-30,300169,7.01,6.95,7.09,6.91,108240,75769836.0,2.52,-2.52,-0.18,3.59,,,,
2025-10-31,300169,6.95,7.11,7.14,6.95,95512,67695769.0,2.73,2.3,0.16,3.17,,,,
2025-11-03,300169,6.8,7.02,7.03,6.68,158176,108951010.0,4.92,-1.27,-0.09,5.24,,,,
2025-11-04,300169,7.0,7.01,7.08,6.92,88302,61685483.0,2.28,-0.14,-0.01,2.93,,,,
2025-11-05,300169,6.99,7.1,7.13,6.91,97230,68717511.0,3.14,1.28,0.09,3.22,,,,
2025-11-06,300169,7.11,6.97,7.12,6.95,85566,59832382.0,2.39,-1.83,-0.13,2.84,,,,
2025-11-07,300169,6.95,6.95,7.03,6.93,69257,48307310.0,1.43,-0.29,-0.02,2.3,,,,
2025-11-10,300169,7.0,7.11,7.15,6.96,100665,71251162.0,2.73,2.3,0.16,3.34,,,,
2025-11-11,300169,7.11,7.14,7.14,7.07,60284,42861040.0,0.98,0.42,0.03,2.0,,,,
2025-11-12,300169,7.13,7.08,7.13,7.02,57520,40609534.0,1.54,-0.84,-0.06,1.91,,,,
2025-11-13,300169,7.1,7.22,7.23,7.06,116904,83818194.0,2.4,1.98,0.14,3.87,,,,
2025-11-14,300169,7.16,7.2,7.25,7.15,69974,50474646.0,1.39,-0.28,-0.02,2.32,,,,
2025-11-17,300169,7.23,7.28,7.28,7.16,83332,60281924.0,1.67,1.11,0.08,2.76,,,,
2025-11-18,300169,7.24,7.15,7.26,7.1,72239,51677994.0,2.2,-1.79,-0.13,2.39,,,,
2025-11-19,300169,7.12,6.91,7.16,6.9,90695,63248157.0,3.64,-3.36,-0.24,3.01,,,,
2025-11-20,300169,7.0,6.9,7.32,6.87,157867,111118673.0,6.51,-0.14,-0.01,5.23,,,,
2025-11-21,300169,6.8,6.52,6.93,6.52,139729,93265258.0,5.94,-5.51,-0.38,4.63,,,,
2025-11-24,300169,6.59,6.66,6.69,6.52,80768,53439064.0,2.61,2.15,0.14,2.68,,,,
2025-11-25,300169,6.69,6.73,6.79,6.66,63977,43182173.0,1.95,1.05,0.07,2.12,,,,
2025-11-26,300169,6.73,6.57,6.78,6.54,72301,48039183.0,3.57,-2.38,-0.16,2.4,,,,
2025-11-27,300169,6.61,6.53,6.62,6.52,62734,41155981.0,1.52,-0.61,-0.04,2.08,,,,
2025-11-28,300169,6.54,6.67,6.69,6.51,68933,45528858.0,2.76,2.14,0.14,2.28,,,,
2025-12-01,300169,6.66,6.66,6.72,6.65,62379,41658477.0,1.05,-0.15,-0.01,2.07,,,,
2025-12-02,300169,6.64,6.64,6.68,6.53,61674,40826932.0,2.25,-0.3,-0.02,2.04,,,,
2025-12-03,300169,6.67,6.47,6.67,6.45,75237,49047152.0,3.31,-2.56,-0.17,2.49,,,,
2025-12-04,300169,6.47,6.23,6.56,6.22,115818,73191542.0,5.26,-3.71,-0.24,3.84,,,,
2025-12-05,300169,6.21,6.37,6.41,6.06,119369,74424924.0,5.62,2.25,0.14,3.96,,,,
