amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
652931689.94,9.82,2024-01-08,10.11,9.81,10.03,658007,3.0,0.68,-1.7,-0.17,2
523365686.4,9.88,2024-01-09,9.98,9.73,9.83,530900,2.55,0.55,0.61,0.06,2
595513419.43,9.74,2024-01-10,9.88,9.72,9.85,608315,1.62,0.63,-1.42,-0.14,2
710953208.92,9.76,2024-01-11,9.81,9.62,9.73,731623,1.95,0.75,0.21,0.02,2
701754669.62,9.7,2024-01-12,9.87,9.66,9.7,718737,2.15,0.74,-0.61,-0.06,2
756259321.45,9.71,2024-01-15,9.78,9.44,9.62,785606,3.51,0.81,0.1,0.01,2
632545914.96,9.61,2024-01-16,9.7,9.48,9.67,659467,2.27,0.68,-1.03,-0.1,2
748619571.8,9.34,2024-01-17,9.57,9.31,9.57,795634,2.71,0.82,-2.81,-0.27,2
828888216.74,9.4,2024-01-18,9.41,9.13,9.29,893507,3.0,0.92,0.64,0.06,2
572149471.85,9.41,2024-01-19,9.45,9.27,9.31,609297,1.91,0.63,0.11,0.01,2
859889046.24,9.05,2024-01-22,9.3,9.0,9.27,937345,3.19,0.96,-3.83,-0.36,2
711069914.51,9.18,2024-01-23,9.21,8.93,9.0,781749,3.09,0.8,1.44,0.13,2
784494949.95,9.41,2024-01-24,9.44,9.1,9.23,844242,3.7,0.87,2.51,0.23,2
1473854620.67,9.96,2024-01-25,9.97,9.42,9.46,1512856,5.84,1.56,5.84,0.55,2
1649473060.22,10.2,2024-01-26,10.35,9.9,9.95,1621424,4.52,1.67,2.41,0.24,2
1167014934.16,10.06,2024-01-29,10.45,10.06,10.41,1145297,3.82,1.18,-1.37,-0.14,2
790365419.25,9.79,2024-01-30,10.05,9.79,10.0,797927,2.58,0.82,-2.68,-0.27,2
652727449.23,9.6,2024-01-31,9.85,9.56,9.77,674789,2.96,0.69,-1.94,-0.19,2
598048552.42,9.44,2024-02-01,9.66,9.42,9.53,627860,2.5,0.65,-1.67,-0.16,2
869058341.64,9.49,2024-02-02,9.83,9.17,9.45,912154,6.99,0.94,0.53,0.05,2
928648159.37,9.18,2024-02-05,9.44,9.03,9.38,1005139,4.32,1.03,-3.27,-0.31,2
1009332263.56,9.51,2024-02-06,9.56,9.08,9.15,1080198,5.23,1.11,3.59,0.33,2
1098891190.88,9.52,2024-02-07,9.63,9.42,9.51,1155528,2.21,1.19,0.11,0.01,2
1328244722.5,10.06,2024-02-08,10.08,9.61,9.66,1346287,4.94,1.39,5.67,0.54,2
1329346818.78,9.84,2024-02-19,10.1,9.67,10.09,1356870,4.27,1.4,-2.19,-0.22,2
897981304.55,9.9,2024-02-20,10.02,9.78,9.9,908516,2.44,0.93,0.61,0.06,2
1865477948.76,10.21,2024-02-21,10.49,9.69,9.78,1834889,8.08,1.89,3.13,0.31,2
