amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
86426623.0,,,26.36,2025-12-15,26.65,25.7,26.4,,,32901,3.6,1.33,,-0.15,-0.04,,688349
62217361.0,,,26.24,2025-12-16,26.68,26.08,26.18,,,23649,2.28,0.96,,-0.46,-0.12,,688349
74160822.0,,,26.28,2025-12-17,26.49,25.61,26.13,,,28474,3.35,1.15,,0.15,0.04,,688349
54546055.0,,,26.21,2025-12-18,26.58,25.99,26.1,,,20683,2.25,0.84,,-0.27,-0.07,,688349
48474640.0,,,26.4,2025-12-19,26.68,26.3,26.65,,,18301,1.45,0.74,,0.72,0.19,,688349
93122845.0,,,26.02,2025-12-22,26.67,25.78,26.33,,,35716,3.37,1.44,,-1.44,-0.38,,688349
74995069.0,,,25.67,2025-12-23,26.17,25.5,25.92,,,29087,2.57,0.24,,-1.35,-0.35,,688349
52099980.0,,,25.94,2025-12-24,25.96,25.44,25.72,,,20224,2.03,0.17,,1.05,0.27,,688349
74978288.0,,,26.34,2025-12-25,26.48,25.8,25.95,,,28542,2.62,0.24,,1.54,0.4,,688349
95320194.0,,,25.74,2025-12-26,26.5,25.69,26.17,,,36600,3.08,0.31,,-2.28,-0.6,,688349
105934862.0,,,25.12,2025-12-29,26.0,25.06,25.68,,,41603,3.65,0.35,,-2.41,-0.62,,688349
52583372.0,,,25.12,2025-12-30,25.33,25.01,25.17,,,20871,1.27,0.18,,0.0,0.0,,688349
67561493.0,,,25.28,2025-12-31,25.35,24.92,25.12,,,26857,1.71,0.23,,0.64,0.16,,688349
115168962.0,,,25.75,2026-01-05,25.92,25.05,25.28,,,44750,3.44,0.38,,1.86,0.47,,688349
208402795.0,,,27.14,2026-01-06,27.18,25.54,25.54,,,78327,6.37,0.66,,5.4,1.39,,688349
85337989.0,,,26.74,2026-01-07,27.12,26.7,27.0,,,31780,1.55,0.27,,-1.47,-0.4,,688349
110331538.0,,,27.0,2026-01-08,27.41,26.4,26.74,,,40960,3.78,0.34,,0.97,0.26,,688349
148620010.0,,,27.59,2026-01-09,27.95,27.0,27.37,,,54127,3.52,0.46,,2.19,0.59,,688349
115590063.0,,,27.88,2026-01-12,28.05,27.28,27.41,,,41615,2.79,0.35,,1.05,0.29,,688349
114887682.0,,,27.35,2026-01-13,27.87,27.08,27.7,,,41990,2.83,0.35,,-1.9,-0.53,,688349
122021363.0,,,26.89,2026-01-14,27.68,26.59,27.21,,,44956,3.99,0.38,,-1.68,-0.46,,688349
137068689.0,,,26.92,2026-01-15,27.2,26.38,26.9,,,51304,3.05,0.43,,0.11,0.03,,688349
135717335.0,,,26.65,2026-01-16,27.34,26.5,27.2,,,50806,3.12,0.43,,-1.0,-0.27,,688349
3625666400.0,19.62,11.16,39.35,,41.73,36.2,38.39,39.59,68.34,894458,,,2022-06-22,,,688349.0,688349
