amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
45567166.03,,,7.01,2024-01-08,7.17,7.01,7.17,,,61632,2.25,0.99,-1.54,-0.11,2376
49756863.0,,,6.92,2024-01-09,7.09,6.84,7.08,,,68141,3.57,1.09,-1.28,-0.09,2376
42570558.0,,,6.71,2024-01-10,6.92,6.69,6.9,,,59863,3.32,0.96,-3.03,-0.21,2376
40406721.64,,,6.92,2024-01-11,6.94,6.74,6.75,,,56188,2.98,0.9,3.13,0.21,2376
29595858.2,,,6.77,2024-01-12,6.94,6.76,6.91,,,41219,2.6,0.66,-2.17,-0.15,2376
31653363.0,,,6.75,2024-01-15,6.81,6.72,6.76,,,44583,1.33,0.71,-0.3,-0.02,2376
31950131.0,,,6.71,2024-01-16,6.79,6.6,6.75,,,45593,2.81,0.73,-0.59,-0.04,2376
37009800.9,,,6.54,2024-01-17,6.73,6.54,6.7,,,53033,2.83,0.85,-2.53,-0.17,2376
47720331.8,,,6.46,2024-01-18,6.56,6.29,6.56,,,70769,4.13,1.13,-1.22,-0.08,2376
34919677.24,,,6.31,2024-01-19,6.48,6.3,6.48,,,52150,2.79,0.83,-2.32,-0.15,2376
59058052.72,,,5.82,2024-01-22,6.36,5.77,6.31,,,92269,9.35,1.48,-7.77,-0.49,2376
60335551.29,,,5.77,2024-01-23,5.91,5.66,5.9,,,98840,4.3,1.58,-0.86,-0.05,2376
57241608.35,,,5.87,2024-01-24,5.9,5.61,5.8,,,93825,5.03,1.5,1.73,0.1,2376
56415004.0,,,6.1,2024-01-25,6.11,5.83,5.88,,,88900,4.77,1.42,3.92,0.23,2376
56112826.26,,,6.18,2024-01-26,6.27,6.07,6.09,,,85896,3.28,1.37,1.31,0.08,2376
39741288.0,,,5.93,2024-01-29,6.2,5.92,6.18,,,62342,4.53,1.0,-4.05,-0.25,2376
44127963.08,,,5.79,2024-01-30,6.09,5.78,5.94,,,70481,5.23,1.13,-2.36,-0.14,2376
56671575.0,,,5.48,2024-01-31,5.82,5.47,5.82,,,95290,6.04,1.52,-5.35,-0.31,2376
54443496.56,,,5.37,2024-02-01,5.47,5.21,5.42,,,95706,4.74,1.53,-2.01,-0.11,2376
88181924.62,,,4.91,2024-02-02,5.47,4.8,5.36,,,163074,12.48,2.61,-8.57,-0.46,2376
97032571.4,,,4.39,2024-02-05,4.93,4.39,4.9,,,200530,11.0,3.21,-10.59,-0.52,2376
93636135.09,,,4.39,2024-02-06,4.52,3.96,4.25,,,205628,12.76,3.29,0.0,0.0,2376
127600604.19,,,4.52,2024-02-07,4.66,4.26,4.65,,,264668,9.11,4.23,2.96,0.13,2376
96750419.09,,,4.79,2024-02-08,4.81,4.31,4.48,,,198572,11.06,3.18,5.97,0.27,2376
86911437.14,,,5.17,2024-02-19,5.19,4.83,4.89,,,160794,7.52,2.57,7.93,0.38,2376
50201621.81,,,5.29,2024-02-20,5.31,5.04,5.16,,,90186,5.22,1.44,2.32,0.12,2376
49670276.39,,,5.38,2024-02-21,5.52,5.19,5.21,,,86517,6.24,1.38,1.7,0.09,2376
37624063.43,,,5.43,2024-02-22,5.55,5.36,5.38,,,65080,3.53,1.04,0.93,0.05,2376
45780121.18,,,5.57,2024-02-23,5.6,5.4,5.46,,,78097,3.68,1.25,2.58,0.14,2376
94615362.13,,,5.89,2024-02-26,6.0,5.75,5.82,,,151904,4.49,2.43,5.75,0.32,2376
55994283.98,,,5.96,2024-02-27,5.96,5.69,5.82,,,90125,4.58,1.44,1.19,0.07,2376
108400474.73,,,5.35,2024-02-28,6.09,5.33,5.96,,,179028,12.75,2.86,-10.23,-0.61,2376
55510394.76,,,5.6,2024-02-29,5.61,5.26,5.26,,,94733,6.54,1.51,4.67,0.25,2376
58818423.69,,,5.83,2024-03-01,5.84,5.64,5.65,,,96304,3.57,1.54,4.11,0.23,2376
56038699.36,,,5.86,2024-03-04,5.91,5.76,5.84,,,90761,2.57,1.45,0.51,0.03,2376
