amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
1827497512.36,4.16,2024-01-08,4.3,4.11,4.12,4214351,4.63,2.33,1.46,0.06,100
1110167544.74,4.16,2024-01-09,4.26,4.12,4.16,2580896,3.37,1.43,0.0,0.0,100
753262822.13,4.09,2024-01-10,4.17,4.08,4.15,1774185,2.16,0.98,-1.68,-0.07,100
751731579.33,4.15,2024-01-11,4.17,4.06,4.09,1762122,2.69,0.97,1.47,0.06,100
531605611.57,4.12,2024-01-12,4.17,4.1,4.15,1247311,1.69,0.69,-0.72,-0.03,100
604017095.03,4.15,2024-01-15,4.19,4.09,4.1,1408930,2.43,0.78,0.73,0.03,100
749756670.76,4.2,2024-01-16,4.2,4.1,4.16,1751534,2.41,0.97,1.2,0.05,100
746060829.14,4.09,2024-01-17,4.21,4.08,4.18,1744094,3.1,0.96,-2.62,-0.11,100
996399842.13,4.13,2024-01-18,4.14,4.02,4.07,2374720,2.93,1.31,0.98,0.04,100
989543854.84,4.15,2024-01-19,4.21,4.09,4.12,2304104,2.91,1.27,0.48,0.02,100
1166143748.01,3.98,2024-01-22,4.15,3.96,4.13,2786240,4.58,1.54,-4.1,-0.17,100
974767213.34,4.07,2024-01-23,4.11,3.96,3.98,2347772,3.77,1.3,2.26,0.09,100
936011270.31,4.14,2024-01-24,4.14,4.01,4.07,2221299,3.19,1.23,1.72,0.07,100
922261779.04,4.15,2024-01-25,4.17,4.08,4.14,2166571,2.17,1.2,0.24,0.01,100
1045040024.57,4.19,2024-01-26,4.22,4.11,4.13,2422010,2.65,1.34,0.96,0.04,100
1052166823.52,4.12,2024-01-29,4.24,4.07,4.22,2461352,4.06,1.36,-1.67,-0.07,100
833347605.7,4.02,2024-01-30,4.11,4.02,4.08,1986532,2.18,1.1,-2.43,-0.1,100
785464708.44,3.92,2024-01-31,4.02,3.91,4.0,1919637,2.74,1.06,-2.49,-0.1,100
1062927845.31,4.05,2024-02-01,4.13,3.91,3.92,2550910,5.61,1.41,3.32,0.13,100
934142763.29,3.97,2024-02-02,4.1,3.86,4.05,2269625,5.93,1.25,-1.98,-0.08,100
1242974288.83,3.89,2024-02-05,3.98,3.8,3.92,3084683,4.53,1.7,-2.02,-0.08,100
1194118826.05,4.03,2024-02-06,4.04,3.85,3.86,2900385,4.88,1.6,3.6,0.14,100
1185094012.6,4.08,2024-02-07,4.12,3.97,4.01,2823806,3.72,1.56,1.24,0.05,100
1272149994.95,4.03,2024-02-08,4.09,4.01,4.07,3050005,1.96,1.69,-1.23,-0.05,100
1577374405.77,4.21,2024-02-19,4.21,4.03,4.07,3687071,4.47,2.04,4.47,0.18,100
939946999.71,4.23,2024-02-20,4.25,4.14,4.18,2167431,2.61,1.2,0.48,0.02,100
1613107064.25,4.29,2024-02-21,4.37,4.19,4.2,3618650,4.26,2.0,1.42,0.06,100
862135416.38,4.29,2024-02-22,4.31,4.22,4.27,1959675,2.1,1.08,0.0,0.0,100
808803451.96,4.29,2024-02-23,4.34,4.24,4.29,1830807,2.33,1.01,0.0,0.0,100
883594484.25,4.27,2024-02-26,4.37,4.26,4.3,1989855,2.56,1.1,-0.47,-0.02,100
878541887.44,4.3,2024-02-27,4.3,4.24,4.26,1996210,1.41,1.1,0.7,0.03,100
1082230818.83,4.17,2024-02-28,4.32,4.17,4.31,2471002,3.49,1.37,-3.02,-0.13,100
1769535079.22,4.4,2024-02-29,4.4,4.14,4.15,3982876,6.24,2.2,5.52,0.23,100
2977179826.67,4.7,2024-03-01,4.73,4.35,4.44,6355779,8.64,3.51,6.82,0.3,100
1906829583.13,4.6,2024-03-04,4.72,4.55,4.72,4023269,3.62,2.22,-2.13,-0.1,100
2158181383.96,4.68,2024-03-05,4.75,4.56,4.58,4507775,4.13,2.49,1.74,0.08,100
1576610553.27,4.66,2024-03-06,4.76,4.62,4.65,3274200,2.99,1.81,-0.43,-0.02,100
