amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
105762755.0,,,5.81,2024-01-08,6.09,5.77,6.08,,,178202,5.29,1.0,-3.97,-0.24,600963
70944599.0,,,5.77,2024-01-09,5.87,5.68,5.79,,,122134,3.27,0.69,-0.69,-0.04,600963
39930243.0,,,5.74,2024-01-10,5.79,5.67,5.76,,,69265,2.08,0.39,-0.52,-0.03,600963
39983124.0,,,5.8,2024-01-11,5.83,5.71,5.72,,,68650,2.09,0.39,1.05,0.06,600963
70215620.0,,,5.78,2024-01-12,5.97,5.78,5.87,,,118958,3.28,0.67,-0.34,-0.02,600963
82671511.0,,,5.87,2024-01-15,5.91,5.73,5.77,,,141042,3.11,0.79,1.56,0.09,600963
73913392.0,,,5.79,2024-01-16,5.87,5.7,5.83,,,127270,2.9,0.72,-1.36,-0.08,600963
49964660.0,,,5.58,2024-01-17,5.8,5.57,5.8,,,87751,3.97,0.49,-3.63,-0.21,600963
132793895.0,,,5.47,2024-01-18,5.56,5.25,5.56,,,246068,5.56,1.38,-1.97,-0.11,600963
56615852.0,,,5.42,2024-01-19,5.51,5.37,5.47,,,103821,2.56,0.58,-0.91,-0.05,600963
104063547.0,,,5.07,2024-01-22,5.46,5.02,5.45,,,199773,8.12,1.12,-6.46,-0.35,600963
94903991.0,,,5.11,2024-01-23,5.17,4.94,5.1,,,186432,4.54,1.05,0.79,0.04,600963
76651983.0,,,5.27,2024-01-24,5.34,5.03,5.1,,,146703,6.07,0.82,3.13,0.16,600963
87427687.0,,,5.47,2024-01-25,5.48,5.23,5.23,,,161417,4.74,0.91,3.8,0.2,600963
75266063.0,,,5.49,2024-01-26,5.61,5.45,5.47,,,135208,2.93,0.76,0.37,0.02,600963
54305449.0,,,5.32,2024-01-29,5.53,5.31,5.49,,,100240,4.01,0.56,-3.1,-0.17,600963
90752448.0,,,5.08,2024-01-30,5.33,5.06,5.31,,,173502,5.08,0.98,-4.51,-0.24,600963
114221555.0,,,4.8,2024-01-31,5.0,4.77,4.94,,,231678,4.53,1.3,-5.51,-0.28,600963
76256986.0,,,4.72,2024-02-01,4.86,4.62,4.8,,,160020,5.0,0.9,-1.67,-0.08,600963
101666422.0,,,4.48,2024-02-02,4.82,4.3,4.69,,,221568,11.02,1.25,-5.08,-0.24,600963
129551160.0,,,4.07,2024-02-05,4.46,4.03,4.46,,,310600,9.6,1.75,-9.15,-0.41,600963
136004068.0,,,4.35,2024-02-06,4.44,3.87,4.01,,,324173,14.0,1.82,6.88,0.28,600963
122583368.0,,,4.55,2024-02-07,4.6,4.33,4.37,,,270516,6.21,1.52,4.6,0.2,600963
100904148.0,,,4.73,2024-02-08,4.81,4.54,4.54,,,212013,5.93,1.19,3.96,0.18,600963
85978270.0,,,4.73,2024-02-19,4.87,4.67,4.8,,,179344,4.23,1.01,0.0,0.0,600963
49015033.0,,,4.71,2024-02-20,4.77,4.65,4.77,,,103695,2.54,0.58,-0.42,-0.02,600963
68006380.0,,,4.74,2024-02-21,4.91,4.63,4.67,,,141033,5.94,0.79,0.64,0.03,600963
59484857.0,,,4.8,2024-02-22,4.85,4.74,4.75,,,123175,2.32,0.69,1.27,0.06,600963
64967729.0,,,4.88,2024-02-23,4.89,4.75,4.83,,,134070,2.92,0.75,1.67,0.08,600963
74574131.0,,,4.88,2024-02-26,4.95,4.78,4.9,,,152293,3.48,0.86,0.0,0.0,600963
60166425.0,,,4.97,2024-02-27,4.97,4.83,4.89,,,121901,2.87,0.69,1.84,0.09,600963
131028018.0,,,4.83,2024-02-28,5.13,4.83,4.98,,,260740,6.04,1.47,-2.82,-0.14,600963
63267617.0,,,4.95,2024-02-29,4.97,4.75,4.77,,,128409,4.55,0.72,2.48,0.12,600963
50831403.0,,,4.92,2024-03-01,4.98,4.87,4.96,,,102842,2.22,0.58,-0.61,-0.03,600963
78352774.0,,,4.82,2024-03-04,4.93,4.75,4.89,,,161964,3.66,0.91,-2.03,-0.1,600963
74144457.0,,,4.68,2024-03-05,4.81,4.64,4.8,,,156706,3.53,0.88,-2.9,-0.14,600963
52097099.0,,,4.75,2024-03-06,4.79,4.64,4.65,,,109863,3.21,0.62,1.5,0.07,600963
48620817.0,,,4.69,2024-03-07,4.83,4.67,4.75,,,101626,3.37,0.57,-1.26,-0.06,600963
43015512.0,,,4.64,2024-03-08,4.72,4.59,4.69,,,92194,2.77,0.52,-1.07,-0.05,600963
75289731.0,,,4.79,2024-03-11,4.8,4.6,4.62,,,158078,4.31,0.89,3.23,0.15,600963
59735731.0,,,4.86,2024-03-12,4.87,4.73,4.8,,,123514,2.92,0.69,1.46,0.07,600963
66243529.0,,,4.75,2024-03-13,4.86,4.74,4.86,,,137971,2.47,0.78,-2.26,-0.11,600963
73586459.0,,,4.79,2024-03-14,4.9,4.73,4.75,,,152022,3.58,0.85,0.84,0.04,600963
64354456.0,,,4.87,2024-03-15,4.89,4.74,4.78,,,132309,3.13,0.74,1.67,0.08,600963
58178890.0,,,4.92,2024-03-18,4.95,4.84,4.91,,,118161,2.26,0.66,1.03,0.05,600963
89466117.0,,,4.94,2024-03-19,5.05,4.9,4.92,,,178603,3.05,1.0,0.41,0.02,600963
77862232.0,,,5.06,2024-03-20,5.07,4.95,4.97,,,154072,2.43,0.87,2.43,0.12,600963
66403976.0,,,5.02,2024-03-21,5.08,4.93,5.05,,,131999,2.96,0.74,-0.79,-0.04,600963
57745134.0,,,4.94,2024-03-22,5.09,4.9,5.02,,,115570,3.78,0.65,-1.59,-0.08,600963
66527830.0,,,4.87,2024-03-25,5.03,4.86,4.89,,,134074,3.44,0.75,-1.42,-0.07,600963
50794504.0,,,4.83,2024-03-26,4.91,4.77,4.87,,,104425,2.87,0.59,-0.82,-0.04,600963
43238167.0,,,4.68,2024-03-27,4.87,4.67,4.83,,,90378,4.14,0.51,-3.11,-0.15,600963
38724106.0,,,4.76,2024-03-28,4.81,4.65,4.65,,,81062,3.42,0.46,1.71,0.08,600963
39029263.0,,,4.8,2024-03-29,4.8,4.71,4.76,,,81531,1.89,0.46,0.84,0.04,600963
53468233.0,,,4.93,2024-04-01,4.94,4.77,4.8,,,108597,3.54,0.61,2.71,0.13,600963
52887307.0,,,4.96,2024-04-02,4.97,4.9,4.94,,,106421,1.42,0.6,0.61,0.03,600963
43594899.0,,,4.95,2024-04-03,4.98,4.89,4.96,,,87710,1.81,0.49,-0.2,-0.01,600963
59126514.0,,,4.82,2024-04-08,4.98,4.8,4.94,,,120224,3.64,0.68,-2.63,-0.13,600963
74767497.0,,,4.97,2024-04-09,5.0,4.84,4.84,,,150403,3.32,0.85,3.11,0.15,600963
