amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
21387046.0,,,18.43,2025-12-15,18.54,18.1,18.33,,,11654,2.39,0.87,,0.16,0.03,,605151
17632692.0,,,18.42,2025-12-16,18.55,18.2,18.5,,,9576,1.9,0.71,,-0.05,-0.01,,605151
18449774.0,,,18.37,2025-12-17,18.46,17.99,18.42,,,10155,2.55,0.75,,-0.27,-0.05,,605151
17281994.0,,,18.5,2025-12-18,18.71,18.3,18.37,,,9313,2.23,0.69,,0.71,0.13,,605151
23428486.0,,,19.03,2025-12-19,19.05,18.56,18.59,,,12445,2.65,0.92,,2.86,0.53,,605151
19973643.0,,,19.0,2025-12-22,19.44,18.94,19.14,,,10467,2.63,0.78,,-0.16,-0.03,,605151
13981499.0,,,18.81,2025-12-23,19.0,18.81,19.0,,,7408,1.0,0.55,,-1.0,-0.19,,605151
14559041.0,,,18.88,2025-12-24,19.03,18.75,18.88,,,7684,1.49,0.57,,0.37,0.07,,605151
16126129.0,,,19.14,2025-12-25,19.29,18.8,18.82,,,8456,2.6,0.63,,1.38,0.26,,605151
16246957.0,,,18.81,2025-12-26,19.25,18.8,19.25,,,8578,2.35,0.64,,-1.72,-0.33,,605151
14792082.0,,,18.92,2025-12-29,18.99,18.73,18.81,,,7835,1.38,0.58,,0.58,0.11,,605151
15241416.0,,,18.96,2025-12-30,19.05,18.75,18.96,,,8058,1.59,0.6,,0.21,0.04,,605151
17097152.0,,,18.89,2025-12-31,19.19,18.68,18.89,,,9074,2.69,0.67,,-0.37,-0.07,,605151
27895542.0,,,18.94,2026-01-05,19.18,18.87,18.89,,,14653,1.64,1.09,,0.26,0.05,,605151
21258434.0,,,19.05,2026-01-06,19.19,18.91,18.93,,,11150,1.48,0.83,,0.58,0.11,,605151
26853274.0,,,18.72,2026-01-07,19.14,18.66,19.0,,,14215,2.52,1.06,,-1.73,-0.33,,605151
21354410.0,,,18.97,2026-01-08,19.0,18.61,18.71,,,11313,2.08,0.84,,1.34,0.25,,605151
22406404.0,,,19.02,2026-01-09,19.04,18.81,18.96,,,11829,1.21,0.88,,0.26,0.05,,605151
27995654.0,,,19.23,2026-01-12,19.27,18.92,19.11,,,14632,1.84,1.09,,1.1,0.21,,605151
26403948.0,,,19.03,2026-01-13,19.35,18.92,19.24,,,13792,2.24,1.03,,-1.04,-0.2,,605151
33778079.0,,,18.84,2026-01-14,19.2,18.63,19.14,,,17829,3.0,1.33,,-1.0,-0.19,,605151
7318493.0,25.99,7.1,21.99,,21.99,18.12,18.12,47.68,0.95,3156,,,2020-12-15,,,605151.0,605151
