amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
5746629.5,4.75,2024-01-08,4.9,4.75,4.9,11944,3.06,0.39,-3.06,-0.15,7
4079608.0,4.75,2024-01-09,4.77,4.68,4.75,8646,1.89,0.28,0.0,0.0,7
1835313.6,4.7,2024-01-10,4.76,4.68,4.75,3897,1.68,0.13,-1.05,-0.05,7
2710680.5,4.78,2024-01-11,4.79,4.66,4.7,5738,2.77,0.19,1.7,0.08,7
9808135.22,4.66,2024-01-12,4.75,4.62,4.74,20952,2.72,0.68,-2.51,-0.12,7
3305437.0,4.63,2024-01-15,4.68,4.59,4.62,7136,1.93,0.23,-0.64,-0.03,7
2995757.5,4.59,2024-01-16,4.61,4.54,4.61,6557,1.51,0.21,-0.86,-0.04,7
3687013.5,4.56,2024-01-17,4.63,4.54,4.6,8059,1.96,0.26,-0.65,-0.03,7
11127471.0,4.33,2024-01-18,4.59,4.33,4.57,25452,5.7,0.82,-5.04,-0.23,7
3366798.0,4.27,2024-01-19,4.36,4.19,4.22,7882,3.93,0.26,-1.39,-0.06,7
6234422.0,4.06,2024-01-22,4.26,4.06,4.26,15248,4.68,0.49,-4.92,-0.21,7
19368693.7,3.9,2024-01-23,4.05,3.86,4.02,49805,4.68,1.61,-3.94,-0.16,7
9984726.1,4.06,2024-01-24,4.07,3.89,3.89,25050,4.62,0.81,4.1,0.16,7
2116035.72,4.26,2024-01-25,4.26,4.26,4.26,4967,0.0,0.16,4.93,0.2,7
807514.44,4.47,2024-01-26,4.47,4.47,4.47,1807,0.0,0.06,4.93,0.21,7
12726831.09,4.69,2024-01-29,4.69,4.6,4.6,27403,2.01,0.89,4.92,0.22,7
27549754.55,4.71,2024-01-30,4.83,4.58,4.81,58435,5.33,1.89,0.43,0.02,7
12717136.0,4.47,2024-01-31,4.7,4.47,4.61,28136,4.88,0.91,-5.1,-0.24,7
11615702.5,4.29,2024-02-01,4.34,4.25,4.31,27205,2.01,0.88,-4.03,-0.18,7
5695906.0,4.21,2024-02-02,4.35,4.14,4.35,13497,4.9,0.44,-1.86,-0.08,7
3649893.0,4.0,2024-02-05,4.16,4.0,4.15,9079,3.8,0.29,-4.99,-0.21,7
9899003.0,3.98,2024-02-06,4.03,3.8,3.8,25701,5.75,0.83,-0.5,-0.02,7
5713598.52,3.9,2024-02-07,4.16,3.83,3.98,14246,8.29,0.46,-2.01,-0.08,7
