amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
46996647.0,,,7.39,2025-12-15,7.54,7.37,7.44,,,63082,2.28,1.55,,-0.67,-0.05,,603330
46876363.0,,,7.16,2025-12-16,7.43,7.13,7.38,,,64990,4.06,1.6,,-3.11,-0.23,,603330
55285891.0,,,7.31,2025-12-17,7.35,7.02,7.15,,,76868,4.61,1.89,,2.09,0.15,,603330
42323285.0,,,7.37,2025-12-18,7.46,7.25,7.3,,,57365,2.87,1.41,,0.82,0.06,,603330
33643887.0,,,7.46,2025-12-19,7.48,7.37,7.39,,,45284,1.49,1.11,,1.22,0.09,,603330
33910735.0,,,7.48,2025-12-22,7.59,7.45,7.49,,,45184,1.88,1.11,,0.27,0.02,,603330
32192270.0,,,7.48,2025-12-23,7.52,7.4,7.47,,,43130,1.6,1.06,,0.0,0.0,,603330
31104585.0,,,7.44,2025-12-24,7.54,7.42,7.51,,,41491,1.6,1.02,,-0.53,-0.04,,603330
37086946.0,,,7.47,2025-12-25,7.47,7.35,7.46,,,49969,1.61,1.23,,0.4,0.03,,603330
35576006.0,,,7.39,2025-12-26,7.54,7.37,7.51,,,47835,2.28,1.18,,-1.07,-0.08,,603330
41403360.0,,,7.35,2025-12-29,7.41,7.28,7.39,,,56431,1.76,1.39,,-0.54,-0.04,,603330
41827683.0,,,7.25,2025-12-30,7.35,7.22,7.32,,,57488,1.77,1.41,,-1.36,-0.1,,603330
32628416.0,,,7.24,2025-12-31,7.29,7.16,7.27,,,45271,1.79,1.11,,-0.14,-0.01,,603330
51736114.0,,,7.23,2026-01-05,7.32,7.16,7.28,,,71704,2.21,1.76,,-0.14,-0.01,,603330
63641474.0,,,7.22,2026-01-06,7.3,7.17,7.23,,,88087,1.8,2.17,,-0.14,-0.01,,603330
49852899.0,,,7.2,2026-01-07,7.26,7.15,7.22,,,69243,1.52,1.7,,-0.28,-0.02,,603330
66782261.0,,,7.41,2026-01-08,7.45,7.15,7.18,,,90927,4.17,2.24,,2.92,0.21,,603330
68511061.0,,,7.36,2026-01-09,7.46,7.25,7.42,,,93287,2.83,2.29,,-0.67,-0.05,,603330
76988416.0,,,7.39,2026-01-12,7.48,7.31,7.35,,,104134,2.31,2.56,,0.41,0.03,,603330
65439132.0,,,7.35,2026-01-13,7.47,7.32,7.4,,,88727,2.03,2.18,,-0.54,-0.04,,603330
93413417.0,,,7.46,2026-01-14,7.65,7.3,7.33,,,125081,4.76,3.08,,1.5,0.11,,603330
62856.0,0.0,1.6,4.81,,4.81,4.81,4.81,49.84,0.02,24,,,2017-02-13,,,603330.0,603330
