amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
89180517.59,,,6.88,2024-01-08,7.04,6.88,7.0,,,128114,2.28,1.7,-1.99,-0.14,2115
94213780.6,,,6.95,2024-01-09,7.01,6.87,6.9,,,135743,2.03,1.8,1.02,0.07,2115
84327456.51,,,6.78,2024-01-10,6.92,6.77,6.91,,,123626,2.16,1.64,-2.45,-0.17,2115
106537869.6,,,6.96,2024-01-11,7.01,6.77,6.78,,,153977,3.54,2.05,2.65,0.18,2115
111953869.2,,,6.89,2024-01-12,6.99,6.79,6.93,,,163187,2.87,2.17,-1.01,-0.07,2115
134011746.54,,,6.99,2024-01-15,7.1,6.83,6.83,,,192086,3.92,2.55,1.45,0.1,2115
128420822.0,,,6.86,2024-01-16,6.98,6.77,6.98,,,187610,3.0,2.49,-1.86,-0.13,2115
94958562.45,,,6.68,2024-01-17,6.89,6.67,6.86,,,140135,3.21,1.86,-2.62,-0.18,2115
120519081.45,,,6.68,2024-01-18,6.7,6.46,6.61,,,183611,3.59,2.44,0.0,0.0,2115
73587218.6,,,6.58,2024-01-19,6.77,6.58,6.68,,,110351,2.84,1.47,-1.5,-0.1,2115
130219695.73,,,6.16,2024-01-22,6.6,6.07,6.58,,,206131,8.05,2.74,-6.38,-0.42,2115
79603442.0,,,6.19,2024-01-23,6.25,6.05,6.1,,,128790,3.25,1.71,0.49,0.03,2115
110338735.5,,,6.3,2024-01-24,6.32,6.01,6.19,,,178129,5.01,2.37,1.78,0.11,2115
162035452.4,,,6.63,2024-01-25,6.65,6.23,6.3,,,248954,6.67,3.31,5.24,0.33,2115
104936207.17,,,6.62,2024-01-26,6.76,6.57,6.63,,,157614,2.87,2.1,-0.15,-0.01,2115
105636851.92,,,6.37,2024-01-29,6.65,6.35,6.62,,,163677,4.53,2.18,-3.78,-0.25,2115
76600844.18,,,6.14,2024-01-30,6.42,6.12,6.32,,,122328,4.71,1.63,-3.61,-0.23,2115
231644636.45,,,5.53,2024-01-31,5.96,5.53,5.86,,,407197,7.0,5.41,-9.93,-0.61,2115
142111972.6,,,5.46,2024-02-01,5.63,5.29,5.44,,,260806,6.15,3.47,-1.27,-0.07,2115
167408392.92,,,5.13,2024-02-02,5.63,4.91,5.49,,,320938,13.19,4.27,-6.04,-0.33,2115
134504137.37,,,4.62,2024-02-05,5.09,4.62,5.09,,,287598,9.16,3.82,-9.94,-0.51,2115
238701369.69,,,4.49,2024-02-06,4.69,4.16,4.38,,,552255,11.47,7.34,-2.81,-0.13,2115
179647328.18,,,4.43,2024-02-07,4.6,4.31,4.49,,,401567,6.46,5.34,-1.34,-0.06,2115
177979974.24,,,4.86,2024-02-08,4.87,4.4,4.49,,,382080,10.61,5.08,9.71,0.43,2115
174683850.95,,,5.13,2024-02-19,5.18,4.95,4.95,,,343667,4.73,4.57,5.56,0.27,2115
158274210.76,,,5.29,2024-02-20,5.31,5.03,5.16,,,304252,5.46,4.04,3.12,0.16,2115
181829379.64,,,5.34,2024-02-21,5.54,5.16,5.22,,,337086,7.18,4.48,0.95,0.05,2115
182546008.5,,,5.57,2024-02-22,5.57,5.28,5.3,,,333112,5.43,4.43,4.31,0.23,2115
236445408.29,,,5.85,2024-02-23,5.87,5.6,5.62,,,411270,4.85,5.47,5.03,0.28,2115
476837241.76,,,6.11,2024-02-26,6.44,5.72,5.86,,,777914,12.31,10.34,4.44,0.26,2115
410312233.21,,,6.32,2024-02-27,6.32,5.94,5.95,,,668628,6.22,8.89,3.44,0.21,2115
472097231.27,,,5.74,2024-02-28,6.41,5.74,6.36,,,767551,10.6,10.2,-9.18,-0.58,2115
575946858.9,,,6.31,2024-02-29,6.31,5.64,5.65,,,932377,11.67,12.4,9.93,0.57,2115
620811494.47,,,6.44,2024-03-01,6.55,6.24,6.33,,,970547,4.91,12.9,2.06,0.13,2115
376029327.04,,,6.43,2024-03-04,6.44,6.19,6.34,,,593431,3.88,7.89,-0.16,-0.01,2115
294783465.87,,,6.23,2024-03-05,6.38,6.18,6.37,,,468601,3.11,6.23,-3.11,-0.2,2115
212164783.75,,,6.28,2024-03-06,6.36,6.18,6.18,,,338146,2.89,4.5,0.8,0.05,2115
238895454.76,,,6.09,2024-03-07,6.31,6.03,6.27,,,387172,4.46,5.15,-3.03,-0.19,2115
