amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
172165788.31,,,55.04,2024-01-08,58.43,55.03,57.09,,,21594,5.96,3.53,-3.59,-2.05,3021
209671568.2,,,56.28,2024-01-09,58.29,55.1,55.17,,,26155,5.8,4.28,2.25,1.24,3021
181553581.56,,,54.39,2024-01-10,56.19,53.34,55.62,,,23452,5.06,3.84,-3.36,-1.89,3021
205345787.56,,,56.47,2024-01-11,57.36,54.24,54.24,,,25752,5.74,4.22,3.82,2.08,3021
125788176.0,,,55.77,2024-01-12,56.81,55.43,56.11,,,15863,2.44,2.6,-1.24,-0.7,3021
176270323.51,,,56.75,2024-01-15,58.04,54.94,55.52,,,21980,5.56,3.6,1.76,0.98,3021
155496114.67,,,55.59,2024-01-16,56.88,54.44,56.75,,,19829,4.3,3.25,-2.04,-1.16,3021
319088336.88,,,50.73,2024-01-17,55.59,50.27,55.59,,,43024,9.57,7.04,-8.74,-4.86,3021
312119680.84,,,52.54,2024-01-18,52.58,48.0,50.74,,,43850,9.03,7.18,3.57,1.81,3021
131579217.3,,,50.67,2024-01-19,52.57,50.6,52.57,,,18077,3.75,2.96,-3.56,-1.87,3021
159436037.0,,,47.88,2024-01-22,52.24,47.39,51.6,,,22638,9.57,3.71,-5.51,-2.79,3021
180484835.68,,,47.09,2024-01-23,48.39,46.69,47.18,,,26869,3.55,4.4,-1.65,-0.79,3021
244788687.93,,,45.56,2024-01-24,47.54,43.96,47.54,,,38169,7.6,6.25,-3.25,-1.53,3021
215852638.32,,,46.18,2024-01-25,46.94,44.18,45.86,,,33239,6.06,5.44,1.36,0.62,3021
242859975.66,,,43.11,2024-01-26,46.17,42.96,45.75,,,38868,6.95,6.36,-6.65,-3.07,3021
231550143.04,,,40.84,2024-01-29,43.69,40.53,43.52,,,39372,7.33,6.45,-5.27,-2.27,3021
161397132.55,,,40.39,2024-01-30,42.7,40.23,40.29,,,27429,6.05,4.49,-1.1,-0.45,3021
209713186.61,,,37.34,2024-01-31,40.64,37.18,40.39,,,38249,8.57,6.26,-7.55,-3.05,3021
169896833.82,,,37.72,2024-02-01,38.64,36.52,36.96,,,31655,5.68,5.18,1.02,0.38,3021
203154868.45,,,36.84,2024-02-02,39.74,35.44,37.89,,,37526,11.4,6.14,-2.33,-0.88,3021
216595642.15,,,34.56,2024-02-05,37.69,33.25,36.47,,,42609,12.05,6.98,-6.19,-2.28,3021
218429588.88,,,37.07,2024-02-06,38.03,32.82,34.31,,,43108,15.08,7.06,7.26,2.51,3021
254937266.88,,,38.44,2024-02-07,40.14,36.54,37.08,,,46352,9.71,7.59,3.7,1.37,3021
233721130.48,,,42.29,2024-02-08,42.35,38.22,38.44,,,40433,10.74,6.62,10.02,3.85,3021
407452829.01,,,40.7,2024-02-19,41.56,38.02,41.56,,,72956,8.37,11.94,-3.76,-1.59,3021
323578072.69,,,39.03,2024-02-20,39.7,38.14,39.39,,,58390,3.83,9.56,-4.1,-1.67,3021
438811342.9,,,40.74,2024-02-21,41.81,38.28,38.61,,,76217,9.04,12.48,4.38,1.71,3021
380461880.9,,,40.33,2024-02-22,41.11,38.87,40.24,,,67113,5.5,10.99,-1.01,-0.41,3021
498076426.19,,,44.43,2024-02-23,44.43,40.17,40.24,,,82917,10.56,13.57,10.17,4.1,3021
706338521.56,,,47.1,2024-02-26,48.94,43.69,45.1,,,107722,11.82,17.63,6.01,2.67,3021
