amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
22099916.0,,,8.59,2025-12-15,8.62,8.47,8.55,,,25791,1.75,0.62,,0.0,0.0,,605500
18317810.0,,,8.52,2025-12-16,8.67,8.48,8.63,,,21435,2.21,0.52,,-0.81,-0.07,,605500
22349796.0,,,8.62,2025-12-17,8.62,8.43,8.53,,,26289,2.23,0.63,,1.17,0.1,,605500
19565030.0,,,8.66,2025-12-18,8.71,8.55,8.55,,,22582,1.86,0.54,,0.46,0.04,,605500
59852751.0,,,8.86,2025-12-19,9.08,8.68,8.73,,,67398,4.62,1.63,,2.31,0.2,,605500
38111984.0,,,8.92,2025-12-22,9.03,8.83,8.84,,,42650,2.26,1.03,,0.68,0.06,,605500
53498180.0,,,9.03,2025-12-23,9.22,8.89,8.95,,,59267,3.7,1.43,,1.23,0.11,,605500
92364092.0,,,9.25,2025-12-24,9.29,8.95,9.02,,,100356,3.77,2.42,,2.44,0.22,,605500
264235049.0,,,9.78,2025-12-25,10.1,9.22,9.22,,,273317,9.51,6.6,,5.73,0.53,,605500
185829264.0,,,9.36,2025-12-26,9.88,9.3,9.7,,,197049,5.93,4.76,,-4.29,-0.42,,605500
191452099.0,,,9.62,2025-12-29,9.9,9.08,9.25,,,201524,8.76,4.86,,2.78,0.26,,605500
121886979.0,,,9.4,2025-12-30,9.77,9.21,9.4,,,129466,5.82,3.12,,-2.29,-0.22,,605500
107351065.0,,,8.95,2025-12-31,9.39,8.87,9.39,,,118082,5.53,2.85,,-4.79,-0.45,,605500
52455636.0,,,9.07,2026-01-05,9.09,8.86,8.97,,,58449,2.57,1.41,,1.34,0.12,,605500
74275782.0,,,8.95,2026-01-06,9.15,8.87,9.07,,,82672,3.09,1.99,,-1.32,-0.12,,605500
52561841.0,,,8.85,2026-01-07,8.98,8.85,8.95,,,59143,1.45,1.43,,-1.12,-0.1,,605500
30306682.0,,,8.88,2026-01-08,8.89,8.83,8.85,,,34189,0.68,0.83,,0.34,0.03,,605500
35881848.0,,,8.96,2026-01-09,9.01,8.88,8.92,,,40096,1.46,0.97,,0.9,0.08,,605500
41901221.0,,,8.98,2026-01-12,8.99,8.92,8.99,,,46781,0.78,1.13,,0.22,0.02,,605500
58422019.0,,,9.04,2026-01-13,9.09,8.89,8.96,,,64936,2.23,1.57,,0.67,0.06,,605500
58887486.0,,,9.07,2026-01-14,9.15,8.93,9.06,,,64963,2.43,1.57,,0.33,0.03,,605500
28944283.0,,,9.01,2026-01-15,9.11,8.99,9.08,,,31998,1.32,0.77,,-0.66,-0.06,,605500
27187388.0,,,8.92,2026-01-16,9.03,8.9,9.0,,,30393,1.44,0.73,,-1.0,-0.09,,605500
556614720.0,19.12,4.03,12.4,,12.4,10.8,12.4,48.15,41.55,207727,,,2020-12-22,,,605500.0,605500
