date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2024-01-08,000670,6.48,6.31,6.52,6.3,137246,87647786.0,3.4,-2.47,-0.16,1.9
2024-01-09,000670,6.34,6.35,6.43,6.27,113324,71928323.5,2.54,0.63,0.04,1.57
2024-01-10,000670,6.3,6.23,6.36,6.2,118911,74564139.0,2.52,-1.89,-0.12,1.65
2024-01-11,000670,6.22,6.39,6.42,6.22,142557,90495017.0,3.21,2.57,0.16,1.97
2024-01-12,000670,6.35,6.28,6.39,6.27,99170,62744123.0,1.88,-1.72,-0.11,1.37
2024-01-15,000670,6.25,6.36,6.62,6.23,278692,178836004.5,6.21,1.27,0.08,3.86
2024-01-16,000670,6.29,6.23,6.33,6.16,193078,120308032.0,2.67,-2.04,-0.13,2.67
2024-01-17,000670,6.24,6.06,6.26,6.06,129545,79636099.5,3.21,-2.73,-0.17,1.79
2024-01-18,000670,6.05,6.09,6.1,5.93,159042,95651553.5,2.81,0.5,0.03,2.2
2024-01-19,000670,6.15,5.99,6.22,5.99,126094,76828563.9,3.78,-1.64,-0.1,1.75
2024-01-22,000670,5.97,5.65,6.04,5.59,162541,94483406.0,7.51,-5.68,-0.34,2.25
2024-01-23,000670,5.68,5.69,5.74,5.5,114640,64947810.5,4.25,0.71,0.04,1.59
2024-01-24,000670,5.71,5.7,5.77,5.46,139183,78316605.0,5.45,0.18,0.01,1.93
2024-01-25,000670,5.7,5.94,6.18,5.66,311294,183882141.0,9.12,4.21,0.24,4.31
2024-01-26,000670,5.9,5.93,6.09,5.87,260316,155439212.99,3.7,-0.17,-0.01,3.6
2024-01-29,000670,5.91,5.64,5.96,5.64,173759,100026675.48,5.4,-4.89,-0.29,2.41
2024-01-30,000670,5.41,5.31,5.57,5.28,189550,102416333.6,5.14,-5.85,-0.33,2.62
2024-01-31,000670,5.3,4.96,5.35,4.95,228768,116966933.0,7.53,-6.59,-0.35,3.17
2024-02-01,000670,4.91,4.89,5.03,4.79,167875,82533299.4,4.84,-1.41,-0.07,2.32
2024-02-02,000670,4.93,4.63,5.01,4.41,217163,102110861.5,12.27,-5.32,-0.26,3.01
2024-02-05,000670,4.6,4.17,4.61,4.17,252670,107663095.67,9.5,-9.94,-0.46,3.5
2024-02-06,000670,3.88,4.22,4.33,3.81,278495,113457482.26,12.47,1.2,0.05,3.86
2024-02-07,000670,4.27,3.96,4.29,3.9,349960,143782190.16,9.24,-6.16,-0.26,4.85
2024-02-08,000670,4.01,4.36,4.36,3.93,368878,154463141.11,10.86,10.1,0.4,5.11
2024-02-19,000670,4.36,4.65,4.78,4.36,386952,177577507.8,9.63,6.65,0.29,5.36
2024-02-20,000670,4.71,4.92,5.1,4.53,426688,203899812.76,12.26,5.81,0.27,5.91
2024-02-21,000670,4.8,4.86,5.01,4.72,402386,197538932.88,5.89,-1.22,-0.06,5.57
2024-02-22,000670,4.84,5.05,5.24,4.83,450883,226538158.05,8.44,3.91,0.19,6.24
2024-02-23,000670,5.04,5.2,5.21,5.0,412951,211122090.87,4.16,2.97,0.15,5.72
2024-02-26,000670,5.19,5.22,5.35,5.14,329346,172028400.35,4.04,0.38,0.02,4.56
2024-02-27,000670,5.22,5.44,5.44,5.15,297251,158415220.47,5.56,4.21,0.22,4.12
2024-02-28,000670,5.42,4.97,5.56,4.93,454835,240387061.41,11.58,-8.64,-0.47,6.3
2024-02-29,000670,4.96,5.47,5.47,4.9,210789,112335367.98,11.47,10.06,0.5,2.92
2024-03-01,000670,6.02,5.71,6.02,5.62,987969,573031612.53,7.31,4.39,0.24,13.68
2024-03-04,000670,5.62,5.62,5.84,5.52,530226,299024483.67,5.6,-1.58,-0.09,7.34
2024-03-05,000670,5.61,6.18,6.18,5.58,789618,475760340.0,10.68,9.96,0.56,10.93
2024-03-06,000670,6.16,6.34,6.73,5.9,1112214,688355860.3,13.43,2.59,0.16,15.4
2024-03-07,000670,6.18,5.99,6.26,5.97,661352,404698417.8,4.57,-5.52,-0.35,9.16
2024-03-08,000670,5.99,6.07,6.3,5.82,515188,313704618.4,8.01,1.34,0.08,7.13
2024-03-11,000670,5.98,6.01,6.01,5.83,384805,228024440.02,2.97,-0.99,-0.06,5.33
2024-03-12,000670,6.03,6.07,6.27,6.01,405570,247890628.5,4.33,1.0,0.06,5.62
2024-03-13,000670,6.11,6.06,6.18,6.0,291179,176516289.12,2.97,-0.16,-0.01,4.03
2024-03-14,000670,6.0,5.9,6.04,5.81,308452,182863278.2,3.8,-2.64,-0.16,4.27
2024-03-15,000670,5.9,5.92,5.92,5.81,202913,118983384.7,1.86,0.34,0.02,2.81
