amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
2241402899.0,,,77.52,2024-10-25,106.0,66.67,84.67,,,184009,220.96,80.93,335.51,59.72,301613
1359645617.0,,,63.09,2024-10-28,71.33,62.95,68.67,,,136952,10.81,60.23,-18.61,-14.43,301613
958001449.0,,,59.48,2024-10-29,63.52,58.01,61.33,,,105374,8.73,46.35,-5.72,-3.61,301613
807127402.0,,,52.87,2024-10-30,59.25,52.72,58.05,,,96184,10.98,42.3,-11.11,-6.61,301613
902951359.0,,,51.34,2024-10-31,57.99,50.78,51.33,,,109756,13.64,48.27,-2.89,-1.53,301613
662081862.0,,,44.77,2024-11-01,49.02,44.77,48.69,,,93006,8.28,40.91,-12.8,-6.57,301613
303471970.0,,,44.56,2024-11-04,45.33,43.83,44.67,,,44749,3.35,19.68,-0.47,-0.21,301613
433435778.0,,,46.65,2024-11-05,47.25,44.05,44.59,,,62245,7.18,27.38,4.69,2.09,301613
486916518.0,,,46.16,2024-11-06,48.41,46.0,46.58,,,67835,5.17,29.83,-1.05,-0.49,301613
328817900.0,,,46.01,2024-11-07,46.65,45.09,45.58,,,47110,3.38,20.72,-0.32,-0.15,301613
368120133.0,,,46.88,2024-11-08,47.97,46.25,46.54,,,51545,3.74,22.67,1.89,0.87,301613
369554957.0,,,48.2,2024-11-11,48.27,46.0,46.41,,,51006,4.84,22.43,2.82,1.32,301613
352174150.0,,,48.92,2024-11-12,49.2,47.45,48.2,,,47808,3.63,21.03,1.49,0.72,301613
515534924.0,,,51.87,2024-11-13,52.6,47.8,48.91,,,67025,9.81,29.48,6.03,2.95,301613
357678406.0,,,48.38,2024-11-14,51.28,48.27,51.28,,,47097,5.8,20.71,-6.73,-3.49,301613
274917035.0,,,45.37,2024-11-15,48.37,45.31,47.44,,,38610,6.32,16.98,-6.22,-3.01,301613
208605239.0,,,46.57,2024-11-18,46.57,44.24,45.23,,,30037,5.14,13.21,2.64,1.2,301613
213904748.0,,,47.4,2024-11-19,48.12,46.03,46.57,,,29832,4.49,13.12,1.78,0.83,301613
182271327.0,,,46.83,2024-11-20,47.41,46.15,47.41,,,25686,2.66,11.3,-1.2,-0.57,301613
155374988.0,,,46.11,2024-11-21,47.17,45.85,46.78,,,21982,2.82,9.67,-1.54,-0.72,301613
