amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
248786122.57,,,35.94,2024-01-08,38.85,35.67,37.99,,,67504,8.02,9.45,-9.36,-3.71,2975
166192593.0,,,35.51,2024-01-09,37.53,35.24,35.54,,,45772,6.37,6.41,-1.2,-0.43,2975
143390323.0,,,33.85,2024-01-10,35.47,33.74,34.86,,,41654,4.87,5.83,-4.67,-1.66,2975
95672402.24,,,34.01,2024-01-11,34.14,33.33,33.59,,,28215,2.39,3.95,0.47,0.16,2975
128806242.2,,,32.22,2024-01-12,33.85,32.15,33.73,,,39152,5.0,5.48,-5.26,-1.79,2975
106359662.4,,,31.66,2024-01-15,31.97,30.73,31.27,,,33818,3.85,4.73,-1.74,-0.56,2975
162525737.0,,,33.16,2024-01-16,34.13,31.92,32.02,,,48840,6.98,6.84,4.74,1.5,2975
68286342.69,,,32.2,2024-01-17,33.34,32.19,32.96,,,20906,3.47,2.93,-2.9,-0.96,2975
145161035.92,,,35.43,2024-01-18,35.43,34.67,34.87,,,40960,2.36,5.73,10.03,3.23,2975
258942197.0,,,34.72,2024-01-19,37.87,34.45,36.87,,,72249,9.65,10.11,-2.0,-0.71,2975
178621022.39,,,32.23,2024-01-22,35.85,31.38,35.35,,,52322,12.87,7.32,-7.17,-2.49,2975
119481139.0,,,30.98,2024-01-23,32.3,30.4,32.21,,,37904,5.9,5.31,-3.88,-1.25,2975
92570901.0,,,30.87,2024-01-24,32.24,29.53,31.4,,,30081,8.75,4.21,-0.36,-0.11,2975
96119599.0,,,32.26,2024-01-25,32.35,30.67,30.84,,,30193,5.44,4.23,4.5,1.39,2975
61685041.0,,,31.2,2024-01-26,32.27,31.19,32.08,,,19429,3.35,2.72,-3.29,-1.06,2975
79454042.0,,,28.8,2024-01-29,31.22,28.77,31.13,,,26813,7.85,3.75,-7.69,-2.4,2975
48920414.0,,,27.17,2024-01-30,28.89,27.12,28.67,,,17450,6.15,2.44,-5.66,-1.63,2975
66814937.0,,,25.46,2024-01-31,27.14,25.25,26.39,,,25556,6.96,3.53,-6.29,-1.71,2975
38715375.0,,,25.02,2024-02-01,25.79,24.7,25.07,,,15292,4.28,2.12,-1.73,-0.44,2975
47123064.44,,,23.85,2024-02-02,25.72,22.77,25.17,,,19350,11.79,2.68,-4.68,-1.17,2975
39233855.98,,,21.45,2024-02-05,23.67,21.45,23.67,,,17893,9.31,2.47,-10.06,-2.4,2975
61908138.0,,,20.52,2024-02-06,21.35,19.29,20.74,,,31002,9.6,4.29,-4.34,-0.93,2975
86864706.37,,,22.3,2024-02-07,22.59,19.87,20.72,,,40993,13.26,5.67,8.67,1.78,2975
128450877.69,,,24.54,2024-02-08,24.54,21.41,21.71,,,54637,14.04,7.56,10.04,2.24,2975
132661997.86,,,24.87,2024-02-19,24.88,23.23,24.42,,,55294,6.72,7.65,1.34,0.33,2975
70824159.26,,,24.17,2024-02-20,24.37,23.65,24.17,,,29298,2.9,4.05,-2.81,-0.7,2975
88046094.19,,,24.24,2024-02-21,25.13,23.68,23.97,,,35710,6.0,4.94,0.29,0.07,2975
90747890.35,,,25.24,2024-02-22,25.42,24.19,24.24,,,36360,5.07,5.03,4.13,1.0,2975
81840194.01,,,27.78,2024-02-23,27.78,25.99,26.87,,,29996,7.09,4.15,10.06,2.54,2975
7734189.6,,,30.57,2024-02-26,30.57,30.57,30.57,,,2519,0.0,0.35,10.04,2.79,2975
13366166.0,,,33.64,2024-02-27,33.64,33.64,33.64,,,3958,0.0,0.55,10.04,3.07,2975
319712435.7,,,37.02,2024-02-28,37.02,36.05,37.02,,,86113,2.88,11.91,10.05,3.38,2975
516389755.05,,,37.17,2024-02-29,40.42,34.55,36.87,,,139649,15.86,19.32,0.41,0.15,2975
417552410.35,,,36.72,2024-03-01,37.64,34.45,36.07,,,115747,8.58,16.01,-1.21,-0.45,2975
277577865.99,,,34.9,2024-03-04,36.95,33.93,36.37,,,78819,8.22,10.9,-4.96,-1.82,2975
325276124.61,,,35.88,2024-03-05,38.4,33.87,34.8,,,89221,12.98,12.34,2.81,0.98,2975
313792669.9,,,36.89,2024-03-06,37.08,34.67,35.33,,,87100,6.72,12.05,2.81,1.01,2975
446479758.28,,,37.05,2024-03-07,40.47,36.83,38.37,,,115105,9.87,15.92,0.43,0.16,2975
346561198.48,,,38.98,2024-03-08,39.15,35.97,36.28,,,91751,8.58,12.69,5.21,1.93,2975
345776551.62,,,40.96,2024-03-11,41.07,37.47,37.67,,,87857,9.24,12.15,5.08,1.98,2975
284662189.28,,,39.46,2024-03-12,41.07,38.78,40.2,,,71393,5.59,9.87,-3.66,-1.5,2975
274962051.99,,,39.77,2024-03-13,41.67,39.6,40.42,,,67809,5.25,9.38,0.79,0.31,2975
220919186.2,,,37.92,2024-03-14,40.03,37.25,39.07,,,57180,6.99,7.91,-4.65,-1.85,2975
265732837.88,,,40.02,2024-03-15,40.37,37.35,38.07,,,67620,7.96,9.35,5.54,2.1,2975
270279713.59,,,41.17,2024-03-18,41.45,39.17,40.03,,,66919,5.7,9.26,2.87,1.15,2975
210547571.35,,,39.17,2024-03-19,40.87,39.17,40.87,,,52915,4.13,7.32,-4.86,-2.0,2975
208754744.04,,,38.14,2024-03-20,39.07,37.45,38.6,,,54676,4.14,7.56,-2.63,-1.03,2975
168844017.47,,,38.69,2024-03-21,39.13,37.68,37.87,,,43929,3.8,6.08,1.44,0.55,2975
166378234.81,,,37.0,2024-03-22,38.19,36.81,38.19,,,44272,3.57,6.12,-4.37,-1.69,2975
127447141.52,,,35.49,2024-03-25,37.56,35.46,37.01,,,34883,5.68,4.82,-4.08,-1.51,2975
95556684.29,,,34.92,2024-03-26,35.87,34.65,35.07,,,27112,3.44,3.75,-1.61,-0.57,2975
79855515.0,,,33.06,2024-03-27,34.98,33.0,34.69,,,23550,5.67,3.26,-5.33,-1.86,2975
78093171.45,,,33.66,2024-03-28,34.22,33.14,33.14,,,23072,3.27,3.19,1.81,0.6,2975
50955683.0,,,33.8,2024-03-29,34.07,33.27,33.62,,,15085,2.38,2.09,0.42,0.14,2975
57125144.37,,,34.46,2024-04-01,34.55,33.84,34.27,,,16648,2.1,2.3,1.95,0.66,2975
71277942.02,,,33.47,2024-04-02,34.55,33.17,34.52,,,21127,4.0,2.92,-2.87,-0.99,2975
80593171.91,,,33.3,2024-04-03,34.17,32.12,33.26,,,24191,6.12,3.35,-0.51,-0.17,2975
46622533.0,,,32.57,2024-04-08,33.42,32.36,33.09,,,14143,3.18,1.96,-2.19,-0.73,2975
42907118.32,,,32.77,2024-04-09,32.98,31.91,32.6,,,13133,3.29,1.82,0.61,0.2,2975
53239259.04,,,32.29,2024-04-10,33.35,31.95,32.97,,,16274,4.27,2.25,-1.46,-0.48,2975
67991578.0,,,31.4,2024-04-11,32.67,31.32,31.87,,,21276,4.18,2.94,-2.76,-0.89,2975
34709068.0,,,31.1,2024-04-12,31.94,31.04,31.37,,,10980,2.87,1.52,-0.96,-0.3,2975
53932945.0,,,29.55,2024-04-15,31.37,29.04,31.35,,,17951,7.49,2.48,-4.98,-1.55,2975
64907986.0,,,26.58,2024-04-16,29.55,26.58,29.55,,,23495,10.05,3.25,-10.05,-2.97,2975
64834524.0,,,28.83,2024-04-17,28.86,26.9,26.9,,,22809,7.37,3.15,8.47,2.25,2975
52762838.0,,,28.92,2024-04-18,29.58,27.97,29.41,,,18205,5.58,2.52,0.31,0.09,2975
51390177.85,,,27.83,2024-04-19,28.86,27.67,28.86,,,18203,4.11,2.52,-3.77,-1.09,2975
41255634.8,,,27.73,2024-04-22,28.06,26.32,27.32,,,14999,6.25,2.07,-0.36,-0.1,2975
40279306.0,,,28.11,2024-04-23,28.34,27.62,27.76,,,14321,2.6,1.98,1.37,0.38,2975
46661402.0,,,29.12,2024-04-24,29.12,27.94,28.11,,,16123,4.2,2.23,3.59,1.01,2975
30549882.18,,,29.27,2024-04-25,29.7,28.62,29.0,,,10376,3.71,1.44,0.52,0.15,2975
38247984.21,,,29.83,2024-04-26,30.16,29.13,29.16,,,12798,3.52,1.77,1.91,0.56,2975
90369995.0,,,31.73,2024-04-29,32.32,30.89,31.87,,,28258,4.79,3.91,6.37,1.9,2975
62699605.8,,,31.93,2024-04-30,32.24,31.47,31.57,,,19580,2.43,2.71,0.63,0.2,2975
45482557.62,,,31.89,2024-05-06,32.56,31.87,32.34,,,14111,2.16,1.95,-0.13,-0.04,2975
