amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
540059886.79,45.34,2024-01-08,46.05,43.54,44.42,107412,5.64,1.67,1.84,0.82,423
296039075.01,44.78,2024-01-09,45.32,44.44,44.96,58920,1.94,0.91,-1.24,-0.56,423
206297589.11,44.14,2024-01-10,44.94,44.14,44.69,41309,1.79,0.64,-1.43,-0.64,423
268002942.19,43.59,2024-01-11,44.6,43.24,44.1,54622,3.08,0.85,-1.25,-0.55,423
197831560.7,43.44,2024-01-12,44.54,43.3,43.34,40054,2.84,0.62,-0.34,-0.15,423
439753305.95,46.23,2024-01-15,46.25,43.25,43.44,86342,6.91,1.34,6.42,2.79,423
287793908.01,46.42,2024-01-16,46.96,45.74,45.98,55446,2.64,0.86,0.41,0.19,423
288414618.96,45.97,2024-01-17,47.79,45.82,46.42,55432,4.24,0.86,-0.97,-0.45,423
288918231.76,45.69,2024-01-18,45.97,44.32,45.54,57328,3.59,0.89,-0.61,-0.28,423
182322132.89,45.26,2024-01-19,45.89,44.93,45.64,35983,2.1,0.56,-0.94,-0.43,423
314749962.49,43.44,2024-01-22,45.43,42.89,44.99,63400,5.61,0.98,-4.02,-1.82,423
335663485.59,43.14,2024-01-23,43.54,41.92,42.92,69671,3.73,1.08,-0.69,-0.3,423
426061213.69,44.6,2024-01-24,44.91,43.24,43.24,85761,3.87,1.33,3.38,1.46,423
314414515.79,44.99,2024-01-25,45.09,43.94,44.78,62798,2.58,0.98,0.87,0.39,423
480842804.18,46.69,2024-01-26,47.2,44.44,44.54,92635,6.13,1.44,3.78,1.7,423
847795549.38,49.63,2024-01-29,50.72,47.94,47.98,154398,5.95,2.4,6.3,2.94,423
364834126.34,48.5,2024-01-30,49.63,48.27,49.63,67098,2.74,1.04,-2.28,-1.13,423
347904298.05,47.05,2024-01-31,48.37,46.9,48.37,65796,3.03,1.02,-2.99,-1.45,423
316100795.69,47.04,2024-02-01,47.81,46.41,46.54,59937,2.98,0.93,-0.02,-0.01,423
429264144.82,48.05,2024-02-02,49.6,46.92,47.34,79783,5.7,1.24,2.15,1.01,423
659783992.1,49.79,2024-02-05,51.5,48.06,48.17,119754,7.16,1.86,3.62,1.74,423
680084586.57,53.14,2024-02-06,54.04,49.31,49.34,117654,9.5,1.83,6.73,3.35,423
700895451.49,54.66,2024-02-07,54.73,52.3,53.02,118589,4.57,1.84,2.86,1.52,423
785942398.27,52.34,2024-02-08,56.54,52.0,54.6,131649,8.31,2.04,-4.24,-2.32,423
567523070.29,52.97,2024-02-19,53.71,50.66,52.74,98046,5.83,1.52,1.2,0.63,423
477694664.56,54.49,2024-02-20,54.79,52.34,52.83,80672,4.63,1.25,2.87,1.52,423
762311491.81,51.87,2024-02-21,54.27,51.49,54.05,132228,5.1,2.05,-4.81,-2.62,423
800417024.63,50.42,2024-02-22,52.03,49.68,51.54,142873,4.53,2.22,-2.8,-1.45,423
695273530.99,49.49,2024-02-23,50.5,49.08,50.12,126508,2.82,1.96,-1.84,-0.93,423
543659215.28,49.93,2024-02-26,50.19,48.64,49.19,98755,3.13,1.53,0.89,0.44,423
496660767.9,50.9,2024-02-27,50.99,49.54,49.65,88956,2.9,1.38,1.94,0.97,423
499059980.34,50.69,2024-02-28,51.5,50.52,50.95,88327,1.93,1.37,-0.41,-0.21,423
544718717.56,52.63,2024-02-29,52.65,50.34,50.42,94950,4.56,1.47,3.83,1.94,423
462856012.06,53.14,2024-03-01,53.89,52.22,52.62,79082,3.17,1.23,0.97,0.51,423
348533179.16,52.93,2024-03-04,53.74,52.61,53.14,59555,2.13,0.92,-0.4,-0.21,423
490536288.09,54.82,2024-03-05,55.37,52.54,52.61,82068,5.35,1.27,3.57,1.89,423
245626553.43,55.04,2024-03-06,55.84,54.26,54.56,40622,2.88,0.63,0.4,0.22,423
225880651.56,53.98,2024-03-07,55.34,53.94,54.64,37633,2.54,0.58,-1.93,-1.06,423
267827660.98,55.2,2024-03-08,55.79,53.74,53.75,44264,3.8,0.69,2.26,1.22,423
216675427.53,55.14,2024-03-11,55.69,54.53,55.14,35886,2.1,0.56,-0.11,-0.06,423
385458555.02,54.41,2024-03-12,55.92,53.87,55.36,64171,3.72,1.0,-1.32,-0.73,423
333331550.43,54.57,2024-03-13,54.64,53.42,54.33,55927,2.24,0.87,0.29,0.16,423
311927240.91,54.13,2024-03-14,54.94,53.54,54.58,52450,2.57,0.81,-0.81,-0.44,423
295615101.24,54.14,2024-03-15,54.59,53.6,54.34,49678,1.83,0.77,0.02,0.01,423
330110098.49,55.96,2024-03-18,55.99,53.85,54.12,54616,3.95,0.85,3.36,1.82,423
218787441.0,55.86,2024-03-19,56.43,55.51,55.77,35645,1.64,0.55,-0.18,-0.1,423
242460960.17,55.04,2024-03-20,55.86,54.44,55.49,40136,2.54,0.62,-1.47,-0.82,423
326247332.2,53.53,2024-03-21,55.22,53.23,55.04,54844,3.62,0.85,-2.74,-1.51,423
486275457.45,55.02,2024-03-22,55.54,53.5,54.64,80662,3.81,1.25,2.78,1.49,423
327805818.44,54.03,2024-03-25,55.49,53.98,54.59,54616,2.74,0.85,-1.8,-0.99,423
275340253.75,54.45,2024-03-26,54.84,53.47,54.09,45990,2.54,0.71,0.78,0.42,423
272038252.16,55.06,2024-03-27,55.82,54.26,54.73,44813,2.87,0.7,1.12,0.61,423
304408256.06,55.36,2024-03-28,56.2,53.54,54.74,49954,4.83,0.78,0.54,0.3,423
253983366.09,56.06,2024-03-29,56.27,55.04,55.38,41475,2.22,0.64,1.26,0.7,423
366627844.45,57.74,2024-04-01,58.22,55.9,56.07,58184,4.14,0.9,3.0,1.68,423
303851664.1,57.24,2024-04-02,58.26,57.05,57.74,48166,2.1,0.75,-0.87,-0.5,423
420107917.6,58.38,2024-04-03,60.1,57.53,57.53,65266,4.49,1.01,1.99,1.14,423
271590242.56,58.73,2024-04-08,59.55,57.88,58.37,42229,2.86,0.66,0.6,0.35,423
305963504.87,58.46,2024-04-09,59.2,57.24,59.04,48257,3.34,0.75,-0.46,-0.27,423
316190777.41,58.94,2024-04-10,60.54,58.79,59.14,48646,2.99,0.76,0.82,0.48,423
351577457.14,60.01,2024-04-11,60.54,58.54,58.8,53711,3.39,0.83,1.82,1.07,423
422640837.84,60.04,2024-04-12,60.82,57.63,60.79,64865,5.32,1.01,0.05,0.03,423
