amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
645161454.0,,,67.83,2024-01-24,81.39,66.72,78.9,,,85657,41.43,77.2,91.56,32.42,301577
428779775.0,,,64.13,2024-01-25,69.8,62.78,68.89,,,64869,10.35,58.47,-5.45,-3.7,301577
382042649.0,,,61.2,2024-01-26,67.28,61.0,64.15,,,58859,9.79,53.05,-4.57,-2.93,301577
806310757.0,,,76.69,2024-01-29,96.87,75.9,78.9,,,94481,34.26,85.16,25.31,15.49,301577
497369753.0,,,60.74,2024-01-30,69.8,60.71,66.89,,,75595,11.85,68.13,-20.8,-15.95,301577
330383159.0,,,53.57,2024-01-31,58.7,53.28,57.9,,,57650,8.92,51.96,-11.8,-7.17,301577
276048035.0,,,54.9,2024-02-01,56.35,51.37,53.11,,,50506,9.3,45.52,2.48,1.33,301577
246935226.0,,,49.61,2024-02-02,54.4,48.2,52.92,,,47006,11.29,42.37,-9.64,-5.29,301577
185767038.0,,,43.65,2024-02-05,49.36,43.41,49.01,,,39508,11.99,35.61,-12.01,-5.96,301577
183990622.0,,,45.9,2024-02-06,47.56,41.91,42.9,,,39826,12.94,35.9,5.15,2.25,301577
205660654.0,,,39.03,2024-02-07,45.65,38.9,45.4,,,46981,14.71,42.34,-14.97,-6.87,301577
154304540.0,,,41.47,2024-02-08,41.87,38.0,40.1,,,37191,9.92,33.52,6.25,2.44,301577
270451475.0,,,49.98,2024-02-19,49.98,41.48,41.89,,,58032,20.5,52.3,20.52,8.51,301577
256557305.0,,,49.77,2024-02-20,51.59,46.37,48.78,,,51405,10.44,46.33,-0.42,-0.21,301577
268264830.0,,,51.52,2024-02-21,52.24,47.23,47.7,,,52236,10.07,47.08,3.52,1.75,301577
246232346.0,,,52.19,2024-02-22,53.07,49.6,50.5,,,46956,6.74,42.32,1.3,0.67,301577
279032186.0,,,54.38,2024-02-23,56.39,51.21,51.92,,,50792,9.93,45.78,4.2,2.19,301577
229375998.0,,,53.67,2024-02-26,55.58,52.51,54.4,,,41652,5.65,37.54,-1.31,-0.71,301577
324943738.0,,,64.62,2024-02-27,64.62,53.15,53.59,,,54133,21.37,48.79,20.4,10.95,301577
449382229.0,,,55.55,2024-02-28,66.62,54.9,61.99,,,72167,18.14,65.04,-14.04,-9.07,301577
307760878.0,,,58.46,2024-02-29,60.67,55.55,55.55,,,51773,9.22,46.66,5.24,2.91,301577
268411386.0,,,56.89,2024-03-01,58.45,55.51,58.16,,,46518,5.03,41.93,-2.69,-1.57,301577
195481966.0,,,54.68,2024-03-04,56.89,52.53,56.89,,,35190,7.66,31.72,-3.88,-2.21,301577
338972503.0,,,59.0,2024-03-05,61.34,53.9,53.9,,,57042,13.61,51.41,7.9,4.32,301577
262110491.0,,,58.71,2024-03-06,61.21,54.92,56.9,,,44459,10.66,40.07,-0.49,-0.29,301577
206152719.0,,,56.09,2024-03-07,59.71,55.4,58.15,,,35334,7.34,31.85,-4.46,-2.62,301577
192737903.0,,,57.9,2024-03-08,59.48,56.41,56.5,,,32531,5.47,29.32,3.23,1.81,301577
168562478.0,,,58.5,2024-03-11,60.6,57.58,59.67,,,28227,5.22,25.44,1.04,0.6,301577
201850117.0,,,59.7,2024-03-12,61.1,58.51,60.4,,,33098,4.43,29.83,2.05,1.2,301577
205146542.0,,,58.91,2024-03-13,61.08,57.8,58.52,,,33852,5.49,30.51,-1.32,-0.79,301577
167092148.0,,,56.59,2024-03-14,58.1,55.75,58.01,,,28890,3.99,26.04,-3.94,-2.32,301577
123726102.0,,,56.4,2024-03-15,56.77,55.08,56.59,,,21674,2.99,19.53,-0.34,-0.19,301577
282324698.0,,,60.89,2024-03-18,62.05,57.34,57.34,,,45992,8.35,41.45,7.96,4.49,301577
221920797.0,,,61.36,2024-03-19,62.23,60.1,61.11,,,35635,3.5,32.12,0.77,0.47,301577
156226619.0,,,60.65,2024-03-20,61.7,59.93,60.5,,,25285,2.88,22.79,-1.16,-0.71,301577
269626907.0,,,62.8,2024-03-21,64.36,61.41,62.44,,,42049,4.86,37.9,3.54,2.15,301577
225770803.0,,,61.09,2024-03-22,64.33,60.93,61.78,,,35351,5.41,31.86,-2.72,-1.71,301577
187555704.0,,,56.04,2024-03-25,59.49,55.9,59.1,,,32050,5.88,28.89,-8.27,-5.05,301577
126871763.0,,,55.3,2024-03-26,56.78,53.46,55.76,,,22601,5.92,20.37,-1.32,-0.74,301577
106427272.0,,,51.69,2024-03-27,55.78,51.69,55.45,,,19651,7.4,17.71,-6.53,-3.61,301577
96789366.0,,,53.32,2024-03-28,53.9,51.29,51.4,,,17931,5.05,16.16,3.15,1.63,301577
108923369.0,,,55.05,2024-03-29,55.88,52.54,52.98,,,19685,6.26,17.74,3.24,1.73,301577
95309810.0,,,55.62,2024-04-01,56.48,54.4,55.03,,,16840,3.78,15.18,1.04,0.57,301577
85191003.0,,,53.93,2024-04-02,55.39,53.16,55.31,,,15469,4.01,13.94,-3.04,-1.69,301577
72735386.0,,,51.61,2024-04-03,54.31,51.59,53.88,,,13635,5.04,12.29,-4.3,-2.32,301577
55002541.0,,,49.71,2024-04-08,51.66,49.71,51.4,,,10659,3.78,9.61,-3.68,-1.9,301577
44712321.0,,,50.49,2024-04-09,50.8,49.6,49.6,,,8690,2.41,7.83,1.57,0.78,301577
58429166.0,,,48.47,2024-04-10,50.82,47.7,50.46,,,11671,6.18,10.52,-4.0,-2.02,301577
43037908.0,,,48.38,2024-04-11,49.16,48.09,48.16,,,8641,2.21,7.79,-0.19,-0.09,301577
73202489.0,,,48.99,2024-04-12,51.09,48.51,48.94,,,14460,5.33,13.03,1.26,0.61,301577
96518365.0,,,49.55,2024-04-15,51.29,48.84,49.71,,,18880,5.0,17.02,1.14,0.56,301577
89213126.0,,,42.32,2024-04-16,47.9,42.08,47.9,,,19869,11.75,17.91,-14.59,-7.23,301577
84103310.0,,,46.17,2024-04-17,46.32,43.41,43.41,,,18189,6.88,16.39,9.1,3.85,301577
67209770.0,,,46.4,2024-04-18,47.23,45.4,45.84,,,14162,3.96,12.76,0.5,0.23,301577
56286770.0,,,46.4,2024-04-19,47.58,45.6,45.6,,,11826,4.27,10.66,0.0,0.0,301577
54753645.0,,,47.47,2024-04-22,47.78,43.92,46.2,,,11553,8.32,10.41,2.31,1.07,301577
45062392.0,,,46.75,2024-04-23,47.63,46.11,47.38,,,9380,3.2,8.45,-1.52,-0.72,301577
49392238.0,,,48.0,2024-04-24,48.0,46.8,47.1,,,10136,2.57,9.14,2.67,1.25,301577
97278027.0,,,49.92,2024-04-25,50.78,48.1,48.64,,,19244,5.58,17.34,4.0,1.92,301577
112081006.0,,,48.79,2024-04-26,49.08,46.91,47.3,,,22805,4.35,20.55,-2.26,-1.13,301577
75337823.0,,,49.45,2024-04-29,49.91,47.98,48.86,,,14912,3.96,13.44,1.35,0.66,301577
63003658.0,,,47.77,2024-04-30,49.5,47.23,49.5,,,12809,4.59,11.54,-3.4,-1.68,301577
54817395.0,,,48.65,2024-05-06,48.8,48.1,48.6,,,11059,1.47,9.97,1.84,0.88,301577
52627729.0,,,48.91,2024-05-07,49.08,48.25,48.39,,,10557,1.71,9.51,0.53,0.26,301577
54220714.0,,,47.01,2024-05-08,48.66,46.63,48.64,,,11181,4.15,10.08,-3.88,-1.9,301577
93051564.0,,,49.35,2024-05-09,50.05,46.91,47.09,,,18583,6.68,16.75,4.98,2.34,301577
60281604.0,,,47.5,2024-05-10,49.55,47.4,49.0,,,12264,4.36,11.05,-3.75,-1.85,301577
48255088.0,,,44.83,2024-05-13,47.4,44.56,46.76,,,10396,5.98,9.37,-5.62,-2.67,301577
44450863.0,,,46.11,2024-05-14,46.89,44.94,44.99,,,9469,4.35,8.53,2.86,1.28,301577
40444751.0,,,45.25,2024-05-15,46.68,45.18,45.9,,,8630,3.25,7.78,-1.87,-0.86,301577
48642422.0,,,46.49,2024-05-16,47.1,45.6,45.6,,,10211,3.31,9.2,2.74,1.24,301577
132207961.0,,,50.0,2024-05-17,50.35,46.79,46.99,,,26230,7.66,23.64,7.55,3.51,301577
81690726.0,,,49.38,2024-05-20,50.16,48.59,49.51,,,16287,3.14,14.68,-1.24,-0.62,301577
109941175.0,,,50.18,2024-05-21,51.69,49.4,50.09,,,21296,4.64,19.19,1.62,0.8,301577
109221124.0,,,51.71,2024-05-22,52.29,49.46,49.6,,,20977,5.64,18.91,3.05,1.53,301577
179076489.0,,,52.2,2024-05-23,55.07,50.91,51.42,,,33250,8.04,29.97,0.95,0.49,301577
249482727.0,,,52.82,2024-05-24,61.9,52.65,60.1,,,43555,17.72,39.26,1.19,0.62,301577
152218348.0,,,49.74,2024-05-27,53.29,48.3,52.31,,,29923,9.45,26.97,-5.83,-3.08,301577
95718135.0,,,47.82,2024-05-28,49.38,47.41,48.56,,,19453,3.96,17.53,-3.86,-1.92,301577
95655706.0,,,49.07,2024-05-29,49.82,48.23,48.25,,,19404,3.32,17.49,2.61,1.25,301577
82034167.0,,,48.7,2024-05-30,50.08,47.4,48.7,,,16713,5.46,15.06,-0.75,-0.37,301577
108524315.0,,,50.55,2024-05-31,51.65,48.7,48.7,,,21357,6.06,19.25,3.8,1.85,301577
106577301.0,,,51.59,2024-06-03,52.65,50.44,50.44,,,20608,4.37,18.57,2.06,1.04,301577
86662873.0,,,50.6,2024-06-04,51.69,49.09,51.55,,,17247,5.04,15.54,-1.92,-0.99,301577
107054039.0,,,47.5,2024-06-05,50.26,46.99,49.58,,,22011,6.46,19.84,-6.13,-3.1,301577
78181720.0,,,45.58,2024-06-06,49.2,45.4,47.6,,,16525,8.0,14.89,-4.04,-1.92,301577
53106086.0,,,46.4,2024-06-07,46.96,45.5,45.94,,,11413,3.2,10.29,1.8,0.82,301577
48269813.0,,,47.33,2024-06-11,47.33,44.78,46.54,,,10360,5.5,9.34,2.0,0.93,301577
68928800.0,,,48.55,2024-06-12,49.18,47.38,47.38,,,14139,3.8,12.74,2.58,1.22,301577
115230098.0,,,50.06,2024-06-13,51.7,48.46,48.46,,,22711,6.67,20.47,3.11,1.51,301577
118557218.0,,,51.9,2024-06-14,51.92,49.19,50.0,,,23175,5.45,20.89,3.68,1.84,301577
198915198.0,,,54.62,2024-06-17,57.5,50.7,51.29,,,36514,13.1,32.91,5.24,2.72,301577
408926541.0,,,64.19,2024-06-18,65.6,57.2,57.7,,,64983,15.38,58.57,17.52,9.57,301577
396149863.0,,,62.71,2024-06-19,68.3,60.61,62.57,,,61808,11.98,55.71,-2.31,-1.48,301577
402822240.0,,,69.69,2024-06-20,73.67,61.47,61.47,,,59536,19.45,53.66,11.13,6.98,301577
303399622.0,,,61.7,2024-06-21,67.2,60.95,65.9,,,47314,8.97,42.64,-11.47,-7.99,301577
359791645.0,,,66.3,2024-06-24,72.7,61.84,61.84,,,53439,17.6,48.16,7.46,4.6,301577
