amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
344173981.0,,,240.35,2025-12-15,241.79,235.14,239.4,,,14387,2.79,1.02,,0.9,2.14,,688617
303182720.0,,,244.66,2025-12-16,246.75,238.15,238.25,,,12393,3.58,0.88,,1.79,4.31,,688617
358725344.0,,,259.57,2025-12-17,259.67,242.84,245.0,,,14146,6.88,1.0,,6.09,14.91,,688617
201903369.0,,,254.3,2025-12-18,261.45,254.3,259.77,,,7880,2.75,0.56,,-2.03,-5.27,,688617
205497589.0,,,254.49,2025-12-19,256.79,252.04,254.75,,,8080,1.87,0.57,,0.07,0.19,,688617
175351943.0,,,250.7,2025-12-22,255.44,250.35,255.44,,,6963,2.0,0.49,,-1.49,-3.79,,688617
152699812.0,,,252.13,2025-12-23,254.17,249.33,251.7,,,6068,1.93,0.43,,0.57,1.43,,688617
204072713.0,,,247.61,2025-12-24,255.0,246.33,253.0,,,8205,3.44,0.58,,-1.79,-4.52,,688617
149281164.0,,,247.78,2025-12-25,249.58,246.66,247.6,,,6006,1.18,0.43,,0.07,0.17,,688617
187702642.0,,,250.54,2025-12-26,250.57,243.49,247.64,,,7575,2.86,0.54,,1.11,2.76,,688617
138917454.0,,,246.7,2025-12-29,250.53,244.06,250.3,,,5633,2.58,0.4,,-1.53,-3.84,,688617
125522040.0,,,243.13,2025-12-30,245.83,242.15,245.82,,,5149,1.49,0.37,,-1.45,-3.57,,688617
185784553.0,,,243.27,2025-12-31,244.76,240.38,242.12,,,7657,1.8,0.54,,0.06,0.14,,688617
263199826.0,,,256.29,2026-01-05,256.5,239.05,241.11,,,10508,7.17,0.75,,5.35,13.02,,688617
326947750.0,,,261.1,2026-01-06,264.69,253.0,256.35,,,12517,4.56,0.89,,1.88,4.81,,688617
218806228.0,,,257.65,2026-01-07,264.0,256.17,258.99,,,8421,3.0,0.6,,-1.32,-3.45,,688617
197134694.0,,,254.42,2026-01-08,261.58,254.28,257.59,,,7661,2.83,0.54,,-1.25,-3.23,,688617
309726101.0,,,265.66,2026-01-09,267.57,254.12,257.39,,,11800,5.29,0.84,,4.42,11.24,,688617
295115446.0,,,260.67,2026-01-12,268.48,259.13,265.66,,,11285,3.52,0.8,,-1.88,-4.99,,688617
307643104.0,,,261.72,2026-01-13,265.85,259.1,262.0,,,11720,2.59,0.83,,0.4,1.05,,688617
336415526.0,,,259.75,2026-01-14,269.68,258.15,259.58,,,12764,4.41,0.91,,-0.75,-1.97,,688617
2299752160.0,82.21,86.96,118.77,,127.28,101.13,101.96,273.37,68.78,94427,,,2021-01-07,,,688617.0,688617
