amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
321546791.1,18.39,2024-01-08,19.0,18.33,18.87,170659,3.52,2.65,-3.46,-0.66,32
906497514.99,16.53,2024-01-09,18.56,16.53,18.4,523632,11.04,8.12,-10.11,-1.86,32
588032397.93,15.97,2024-01-10,16.43,15.72,16.27,361198,4.3,5.6,-3.39,-0.56,32
355702196.21,17.59,2024-01-11,17.59,16.67,16.82,202344,5.76,3.14,10.14,1.62,32
872296205.6,17.55,2024-01-12,18.31,17.52,18.3,482168,4.49,7.48,-0.23,-0.04,32
527019179.63,17.78,2024-01-15,18.24,17.24,17.46,293008,5.7,4.54,1.31,0.23,32
333389838.09,17.7,2024-01-16,17.94,17.31,17.78,187308,3.54,2.91,-0.45,-0.08,32
270453488.53,17.28,2024-01-17,17.98,17.27,17.74,151366,4.01,2.35,-2.37,-0.42,32
387199891.8,17.55,2024-01-18,17.72,16.77,17.31,222319,5.5,3.45,1.56,0.27,32
279521851.94,17.05,2024-01-19,17.64,17.02,17.55,159711,3.53,2.48,-2.85,-0.5,32
365112193.34,16.52,2024-01-22,17.4,16.32,16.95,212811,6.33,3.3,-3.11,-0.53,32
364054048.66,16.93,2024-01-23,17.12,16.37,16.5,213585,4.54,3.31,2.48,0.41,32
372801608.16,16.93,2024-01-24,17.01,16.27,16.88,221419,4.37,3.43,0.0,0.0,32
792476325.82,18.65,2024-01-25,18.65,16.78,16.86,434743,11.05,6.74,10.16,1.72,32
1125155101.35,18.77,2024-01-26,19.63,18.74,19.25,580261,4.77,9.0,0.64,0.12,32
597030407.68,18.23,2024-01-29,19.01,18.15,18.77,317324,4.58,4.92,-2.88,-0.54,32
796859614.66,18.64,2024-01-30,19.49,18.2,18.23,417707,7.08,6.48,2.25,0.41,32
712021606.56,17.37,2024-01-31,18.42,17.13,17.97,395168,6.92,6.13,-6.81,-1.27,32
594096486.48,17.13,2024-02-01,17.93,16.37,17.05,342816,8.98,5.32,-1.38,-0.24,32
515536913.45,16.24,2024-02-02,17.47,15.76,17.13,306865,9.98,4.76,-5.2,-0.89,32
461362793.55,14.59,2024-02-05,15.92,14.59,15.9,305666,8.19,4.74,-10.16,-1.65,32
515892217.77,15.08,2024-02-06,15.57,13.31,13.77,351357,15.49,5.45,3.36,0.49,32
568962687.98,15.6,2024-02-07,16.16,14.97,15.01,357109,7.89,5.54,3.45,0.52,32
528774808.65,16.43,2024-02-08,16.93,15.78,15.78,317310,7.37,4.92,5.32,0.83,32
477884634.26,16.99,2024-02-19,17.12,16.43,16.79,280330,4.2,4.35,3.41,0.56,32
566689132.87,17.45,2024-02-20,17.82,16.47,16.77,323767,7.95,5.02,2.71,0.46,32
516025715.93,17.25,2024-02-21,17.92,16.93,17.04,292324,5.67,4.53,-1.15,-0.2,32
826926879.8,18.37,2024-02-22,18.74,18.01,18.37,445349,4.23,6.91,6.49,1.12,32
701578494.3,18.65,2024-02-23,18.89,18.19,18.55,375074,3.81,5.82,1.52,0.28,32
676244296.79,18.75,2024-02-26,19.06,18.18,18.52,356542,4.72,5.53,0.54,0.1,32
858661814.2,19.87,2024-02-27,20.02,18.52,18.56,438073,8.0,6.79,5.97,1.12,32
924930699.39,18.28,2024-02-28,20.27,18.16,19.77,472418,10.62,7.33,-8.0,-1.59,32
686667392.78,19.54,2024-02-29,19.63,17.99,17.99,354428,8.97,5.5,6.89,1.26,32
1013860133.77,20.52,2024-03-01,20.52,19.47,19.57,500760,5.37,7.77,5.02,0.98,32
891182403.99,20.41,2024-03-04,20.79,19.71,20.77,435229,5.26,6.75,-0.54,-0.11,32
620652372.47,19.7,2024-03-05,20.26,19.55,19.96,308795,3.48,4.79,-3.48,-0.71,32
457590474.48,19.58,2024-03-06,19.86,19.23,19.38,231391,3.2,3.59,-0.61,-0.12,32
