amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
49924672.0,,,13.29,2025-12-15,13.39,13.17,13.23,,,37624,1.67,1.63,,0.61,0.08,,603787
46867180.0,,,13.02,2025-12-16,13.32,12.94,13.19,,,35813,2.86,1.56,,-2.03,-0.27,,603787
59469548.0,,,12.74,2025-12-17,13.11,12.49,12.98,,,46821,4.76,2.03,,-2.15,-0.28,,603787
47322158.0,,,12.93,2025-12-18,13.02,12.67,12.8,,,36631,2.75,1.59,,1.49,0.19,,603787
44135789.0,,,13.24,2025-12-19,13.25,12.83,12.83,,,33620,3.25,1.46,,2.4,0.31,,603787
42465504.0,,,13.08,2025-12-22,13.39,13.07,13.3,,,32167,2.42,1.4,,-1.21,-0.16,,603787
46845504.0,,,12.9,2025-12-23,13.18,12.87,13.15,,,36152,2.37,1.57,,-1.38,-0.18,,603787
44186416.0,,,13.19,2025-12-24,13.3,12.93,12.96,,,33707,2.87,1.46,,2.25,0.29,,603787
28375233.0,,,13.17,2025-12-25,13.21,13.01,13.14,,,21654,1.52,0.94,,-0.15,-0.02,,603787
43529948.0,,,13.0,2025-12-26,13.23,12.96,13.21,,,33262,2.05,1.45,,-1.29,-0.17,,603787
35849749.0,,,12.95,2025-12-29,13.14,12.89,13.0,,,27598,1.92,1.2,,-0.38,-0.05,,603787
39503788.0,,,12.99,2025-12-30,13.24,12.78,12.9,,,30315,3.55,1.32,,0.31,0.04,,603787
139706602.0,,,14.06,2025-12-31,14.18,12.88,12.99,,,102144,10.01,4.44,,8.24,1.07,,603787
157087038.0,,,13.6,2026-01-05,14.15,13.5,14.06,,,114563,4.62,4.98,,-3.27,-0.46,,603787
85805194.0,,,13.56,2026-01-06,13.73,13.46,13.58,,,63308,1.99,2.75,,-0.29,-0.04,,603787
82776253.0,,,13.29,2026-01-07,13.59,13.16,13.59,,,62188,3.17,2.7,,-1.99,-0.27,,603787
71235570.0,,,13.37,2026-01-08,13.63,13.13,13.34,,,53375,3.76,2.32,,0.6,0.08,,603787
68562190.0,,,13.34,2026-01-09,13.35,13.12,13.33,,,51737,1.72,2.25,,-0.22,-0.03,,603787
145407141.0,,,13.78,2026-01-12,14.12,13.26,13.36,,,106233,6.45,4.62,,3.3,0.44,,603787
91490156.0,,,13.6,2026-01-13,13.9,13.42,13.84,,,66813,3.48,2.9,,-1.31,-0.18,,603787
72874284.0,,,13.66,2026-01-14,13.79,13.39,13.6,,,53472,2.94,2.32,,0.44,0.06,,603787
66055720.0,,,13.77,2026-01-15,13.93,13.56,13.6,,,47955,2.71,2.08,,0.81,0.11,,603787
63840521.0,,,13.65,2026-01-16,13.8,13.4,13.77,,,47106,2.9,2.05,,-0.87,-0.12,,603787
111672.0,33.18,2.68,7.08,,7.08,5.62,5.62,60.91,0.03,128,,,2017-04-27,,,603787.0,603787
