amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
262029726.0,,,19.72,2024-01-08,20.45,19.72,20.38,,,130610,3.58,2.0,-3.24,-0.66,603005
213582606.0,,,19.82,2024-01-09,20.2,19.63,19.79,,,106596,2.89,1.63,0.51,0.1,603005
201665402.0,,,19.37,2024-01-10,19.84,19.22,19.77,,,102607,3.13,1.57,-2.27,-0.45,603005
215224026.0,,,19.76,2024-01-11,19.81,19.23,19.24,,,108947,2.99,1.67,2.01,0.39,603005
171233207.0,,,19.38,2024-01-12,19.76,19.38,19.72,,,87000,1.92,1.33,-1.92,-0.38,603005
281505956.0,,,19.66,2024-01-15,20.07,19.16,19.27,,,141867,4.7,2.18,1.44,0.28,603005
213118592.0,,,19.63,2024-01-16,19.74,19.17,19.66,,,109029,2.9,1.67,-0.15,-0.03,603005
197592877.0,,,18.94,2024-01-17,19.68,18.93,19.5,,,101627,3.82,1.56,-3.52,-0.69,603005
319625605.0,,,19.22,2024-01-18,19.28,18.45,18.94,,,168809,4.38,2.59,1.48,0.28,603005
325532984.0,,,19.02,2024-01-19,19.87,19.01,19.31,,,166224,4.47,2.55,-1.04,-0.2,603005
348157365.0,,,17.83,2024-01-22,19.22,17.69,19.05,,,187489,8.04,2.87,-6.26,-1.19,603005
258513138.0,,,18.07,2024-01-23,18.26,17.52,17.85,,,142383,4.15,2.18,1.35,0.24,603005
286243968.0,,,18.08,2024-01-24,18.23,17.34,18.16,,,159616,4.93,2.45,0.06,0.01,603005
326899966.0,,,18.64,2024-01-25,18.65,17.9,18.08,,,176567,4.15,2.71,3.1,0.56,603005
328314586.0,,,18.24,2024-01-26,18.83,18.21,18.44,,,176921,3.33,2.71,-2.15,-0.4,603005
244456392.0,,,17.58,2024-01-29,18.5,17.55,18.22,,,135793,5.21,2.08,-3.62,-0.66,603005
258919531.0,,,16.85,2024-01-30,17.75,16.81,17.45,,,149042,5.35,2.29,-4.15,-0.73,603005
343764430.0,,,15.99,2024-01-31,17.07,15.96,16.8,,,207632,6.59,3.18,-5.1,-0.86,603005
269037010.0,,,16.03,2024-02-01,16.41,15.68,15.87,,,166276,4.57,2.55,0.25,0.04,603005
404803490.0,,,14.9,2024-02-02,16.31,14.41,16.11,,,264154,11.85,4.05,-7.05,-1.13,603005
458014308.0,,,13.6,2024-02-05,14.89,13.4,14.85,,,327435,10.0,5.02,-8.72,-1.3,603005
391361085.0,,,14.64,2024-02-06,14.75,13.31,13.52,,,275081,10.59,4.22,7.65,1.04,603005
517684745.0,,,15.59,2024-02-07,16.04,14.7,14.7,,,328792,9.15,5.04,6.49,0.95,603005
440900627.0,,,16.47,2024-02-08,16.55,15.58,15.59,,,269195,6.22,4.13,5.64,0.88,603005
460813704.0,,,16.7,2024-02-19,16.98,16.18,16.87,,,275998,4.86,4.23,1.4,0.23,603005
