date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,amplitude,pct_change,change,turnover
2024-01-08,301218,30.83,30.17,30.83,30.13,10064,30601647.0,2.28,-1.66,-0.51,1.8,,,,
2024-01-09,301218,30.32,29.99,30.81,29.7,16905,51233959.0,3.68,-0.6,-0.18,3.02,,,,
2024-01-10,301218,29.8,29.44,30.09,29.28,12553,37326232.0,2.7,-1.83,-0.55,2.24,,,,
2024-01-11,301218,29.44,30.56,30.68,29.25,19129,57987544.0,4.86,3.8,1.12,3.41,,,,
2024-01-12,301218,30.55,30.08,30.69,30.06,11927,36225768.0,2.06,-1.57,-0.48,2.13,,,,
2024-01-15,301218,30.03,29.79,30.17,29.56,11523,34485192.0,2.03,-0.96,-0.29,2.06,,,,
2024-01-16,301218,30.0,29.78,30.0,29.21,11558,34180663.0,2.65,-0.03,-0.01,2.06,,,,
2024-01-17,301218,29.77,29.19,30.28,29.18,16713,49796563.0,3.69,-1.98,-0.59,2.98,,,,
2024-01-18,301218,29.18,31.46,32.53,28.49,71621,220342212.0,13.84,7.78,2.27,12.78,,,,
2024-01-19,301218,31.01,29.63,31.48,29.59,62493,190264339.0,6.01,-5.82,-1.83,11.15,,,,
2024-01-22,301218,29.92,27.97,30.91,27.49,45062,132002991.0,11.54,-5.6,-1.66,8.04,,,,
2024-01-23,301218,28.18,33.58,33.58,27.81,132129,431699359.0,20.63,20.06,5.61,23.58,,,,
2024-01-24,301218,34.93,34.75,36.28,34.04,237855,841878620.0,6.67,3.48,1.17,42.44,,,,
2024-01-25,301218,34.75,35.65,37.53,33.71,213235,760827436.0,10.99,2.59,0.9,38.05,,,,
2024-01-26,301218,33.99,32.59,34.78,32.49,164397,555332162.0,6.42,-8.58,-3.06,29.34,,,,
2024-01-29,301218,32.7,28.04,32.82,27.83,133942,394184841.0,15.31,-13.96,-4.55,23.9,,,,
2024-01-30,301218,26.73,25.62,27.31,24.75,89099,231640592.0,9.13,-8.63,-2.42,15.9,,,,
2024-01-31,301218,26.08,23.51,26.09,23.43,74272,181681528.0,10.38,-8.24,-2.11,13.25,,,,
2024-02-01,301218,23.5,24.98,26.43,23.3,92997,234862930.0,13.31,6.25,1.47,16.59,,,,
2024-02-02,301218,25.28,23.33,25.88,22.25,77838,187064622.0,14.53,-6.61,-1.65,13.89,,,,
2024-02-05,301218,23.14,19.74,23.16,19.55,79391,164757879.0,15.47,-15.39,-3.59,14.17,,,,
2024-02-06,301218,19.67,20.29,20.83,17.99,72901,141790165.0,14.39,2.79,0.55,13.01,,,,
2024-02-07,301218,20.31,19.03,20.42,18.9,66743,131734541.0,7.49,-6.21,-1.26,11.91,,,,
2024-02-08,301218,19.33,21.03,21.11,18.81,73228,149697843.0,12.09,10.51,2.0,13.07,,,,
2024-02-19,301218,21.71,22.61,22.75,21.46,84267,187708517.0,6.13,7.51,1.58,15.04,,,,
2024-02-20,301218,22.49,23.07,23.41,21.76,75313,172160613.0,7.3,2.03,0.46,13.44,,,,
